id,prompt,label,reasoning,graph_id,story_id,rung,query_type,formal_form,question_property,dataset_variant,subset,diagnostic_source
4781,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on drinking coffee and salary. Proximity to a college has a direct effect on drinking coffee. Drinking coffee has a direct effect on salary. Unobserved confounders is unobserved. For people living far from a college, the probability of high salary is 47%. For people living close to a college, the probability of high salary is 62%. For people living far from a college, the probability of drinking coffee is 31%. For people living close to a college, the probability of drinking coffee is 68%.",no,"Let V2 = proximity to a college; V1 = unobserved confounders; X = drinking coffee; Y = salary.
V1->X,V2->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
[P(Y=1|V2=1)-P(Y=1|V2=0)]/[P(X=1|V2=1)-P(X=1|V2=0)]
P(Y=1 | V2=0) = 0.47
P(Y=1 | V2=1) = 0.62
P(X=1 | V2=0) = 0.31
P(X=1 | V2=1) = 0.68
(0.62 - 0.47) / (0.68 - 0.31) = 0.39
0.39 > 0",IV,college_wage,2,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],,anticommonsense,formal,stress
7645,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Liking spicy food has a direct effect on parents' social status and child's intelligence. Other unobserved factors has a direct effect on parents' social status and child's intelligence. Parents' social status has a direct effect on child's intelligence. Other unobserved factors is unobserved. For children who do not like spicy food, the probability of intelligent child is 20%. For children who like spicy food, the probability of intelligent child is 82%.",no,"Let V2 = other unobserved factors; X = liking spicy food; V3 = parents' social status; Y = child's intelligence.
X->V3,V2->V3,X->Y,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.20
P(Y=1 | X=1) = 0.82
0.82 - 0.20 = 0.62
0.62 > 0",arrowhead,nature_vs_nurture,2,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],,anticommonsense,formal,stress
3018,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: My decision has a direct effect on penguin mood and foot size. Penguin mood has a direct effect on foot size. For those who choose to take the stairs, the probability of large feet is 60%. For those who choose to take the elevator, the probability of large feet is 59%.",no,"Let X = my decision; V2 = penguin mood; Y = foot size.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.60
P(Y=1 | X=1) = 0.59
0.59 - 0.60 = -0.00
0.00 = 0",mediation,penguin,2,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],,anticommonsense,formal,stress
24049,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and freckles. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on freckles. Gender is unobserved. For nonsmokers, the probability of high tar deposit is 74%. For smokers, the probability of high tar deposit is 29%. For nonsmokers and with no tar deposit, the probability of freckles is 85%. For nonsmokers and with high tar deposit, the probability of freckles is 59%. For smokers and with no tar deposit, the probability of freckles is 84%. For smokers and with high tar deposit, the probability of freckles is 58%. The overall probability of smoking is 63%.",no,"Let V1 = gender; X = smoking; V3 = tar deposit; Y = freckles.
V1->X,X->V3,V1->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V3 = v} [P(V3 = v|X = 1) - P(V3 = v|X = 0)] * [\sum_{X = h} P(Y = 1|X = h,V3 = v)*P(X = h)]
P(V3=1 | X=0) = 0.74
P(V3=1 | X=1) = 0.29
P(Y=1 | X=0, V3=0) = 0.85
P(Y=1 | X=0, V3=1) = 0.59
P(Y=1 | X=1, V3=0) = 0.84
P(Y=1 | X=1, V3=1) = 0.58
P(X=1) = 0.63
(0.29 - 0.74)* (0.58 * 0.63) + (0.71 - 0.26) * (0.59 * 0.37) = 0.12
0.12 > 0",frontdoor,smoking_frontdoor,2,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],,anticommonsense,formal,stress
11765,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Listening to jazz has a direct effect on smoking and lung cancer. Pollution has a direct effect on smoking and lung cancer. Smoking has a direct effect on lung cancer. Pollution is unobserved. For people who do not listen to jazz, the probability of lung cancer is 28%. For people who listen to jazz, the probability of lung cancer is 40%.",no,"Let V2 = pollution; X = listening to jazz; V3 = smoking; Y = lung cancer.
X->V3,V2->V3,X->Y,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.28
P(Y=1 | X=1) = 0.40
0.40 - 0.28 = 0.12
0.12 > 0",arrowhead,smoking_gene_cancer,2,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],,anticommonsense,formal,stress
16123,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on blood pressure and heart condition. Blood pressure has a direct effect on heart condition. For people who do not have a sister, the probability of healthy heart is 80%. For people who have a sister, the probability of healthy heart is 22%.",yes,"Let X = having a sister; V2 = blood pressure; Y = heart condition.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.80
P(Y=1 | X=1) = 0.22
0.22 - 0.80 = -0.58
-0.58 < 0",mediation,blood_pressure,2,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],,anticommonsense,formal,stress
4788,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on drinking coffee and salary. Proximity to a college has a direct effect on drinking coffee. Drinking coffee has a direct effect on salary. Unobserved confounders is unobserved. For people living far from a college, the probability of high salary is 22%. For people living close to a college, the probability of high salary is 34%. For people living far from a college, the probability of drinking coffee is 2%. For people living close to a college, the probability of drinking coffee is 48%.",yes,"Let V2 = proximity to a college; V1 = unobserved confounders; X = drinking coffee; Y = salary.
V1->X,V2->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
[P(Y=1|V2=1)-P(Y=1|V2=0)]/[P(X=1|V2=1)-P(X=1|V2=0)]
P(Y=1 | V2=0) = 0.22
P(Y=1 | V2=1) = 0.34
P(X=1 | V2=0) = 0.02
P(X=1 | V2=1) = 0.48
(0.34 - 0.22) / (0.48 - 0.02) = 0.26
0.26 > 0",IV,college_wage,2,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],,anticommonsense,formal,stress
2141,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Solar eclipse has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. For situations where there is no solar eclipse, the probability of arriving to school on time is 64%. For situations where there is a solar eclipse, the probability of arriving to school on time is 33%.",yes,"Let V2 = traffic; X = solar eclipse; Y = Alice arriving to school.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.64
P(Y=1 | X=1) = 0.33
0.33 - 0.64 = -0.31
-0.31 < 0",fork,getting_late,2,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],,anticommonsense,formal,stress
9480,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on having a brother and recovery. Having a brother has a direct effect on recovery. For patients who are not male and do not have a brother, the probability of recovery is 5%. For patients who are not male and have a brother, the probability of recovery is 26%. For patients who are male and do not have a brother, the probability of recovery is 77%. For patients who are male and have a brother, the probability of recovery is 98%. The overall probability of male gender is 52%.",yes,"Let V1 = gender; X = having a brother; Y = recovery.
V1->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.05
P(Y=1 | V1=0, X=1) = 0.26
P(Y=1 | V1=1, X=0) = 0.77
P(Y=1 | V1=1, X=1) = 0.98
P(V1=1) = 0.52
0.48 * (0.26 - 0.05) + 0.52 * (0.98 - 0.77) = 0.21
0.21 > 0",confounding,simpson_drug,2,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],,anticommonsense,formal,stress
12541,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Poverty has a direct effect on liking spicy food and cholera. Water company has a direct effect on liking spicy food. Liking spicy food has a direct effect on cholera. Poverty is unobserved. For people served by a local water company, the probability of cholera contraction is 64%. For people served by a global water company, the probability of cholera contraction is 66%. For people served by a local water company, the probability of liking spicy food is 50%. For people served by a global water company, the probability of liking spicy food is 45%.",yes,"Let V2 = water company; V1 = poverty; X = liking spicy food; Y = cholera.
V1->X,V2->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
[P(Y=1|V2=1)-P(Y=1|V2=0)]/[P(X=1|V2=1)-P(X=1|V2=0)]
P(Y=1 | V2=0) = 0.64
P(Y=1 | V2=1) = 0.66
P(X=1 | V2=0) = 0.50
P(X=1 | V2=1) = 0.45
(0.66 - 0.64) / (0.45 - 0.50) = -0.39
-0.39 < 0",IV,water_cholera,2,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],,anticommonsense,formal,stress
