model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,story_id,query_type,formal_form,left_sample_id,right_sample_id,has_invalid,strict_contrast_consistent,correct_flip,wrong_flip,invariant_yes,invariant_no,left_gold_label,right_gold_label,left_parsed_label,right_parsed_label
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,correlation,P(Y | X),15239,10457,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,correlation,P(Y | X),15239,15293,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,correlation,P(Y | X),15313,10457,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,correlation,P(Y | X),15313,15293,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",119,88,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",119,4835,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",10462,88,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",10462,4835,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",15204,88,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",15204,4835,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",15258,88,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",15258,4835,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,alarm,nie,"E[Y_{X=0, V2=1} - Y_{X=0, V2=0}]",10465,10414,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,blood_pressure,backadj,[backdoor adjustment set for Y given X],11741,1326,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,blood_pressure,correlation,P(Y | X),1421,6121,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,blood_pressure,correlation,P(Y | X),1421,6206,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,blood_pressure,marginal,P(Y),11759,6192,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,blood_pressure,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",1460,11745,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,blood_pressure,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",16591,11745,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,candle,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],166,4986,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,candle,ett,E[Y_{X = 1} - Y_{X = 0} | X = 1],5074,10599,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,celebrity,backadj,[backdoor adjustment set for Y given X],16696,16732,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,cholesterol,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],1668,12055,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,main,main,nl_var_graph,cholesterol,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],16780,12055,False,0,0,0,1,0,no,yes,yes,yes
