model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,story_id,query_type,formal_form,left_sample_id,right_sample_id,has_invalid,strict_contrast_consistent,correct_flip,wrong_flip,invariant_yes,invariant_no,left_gold_label,right_gold_label,left_parsed_label,right_parsed_label
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,celebrity,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",16506,4127,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,celebrity,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",16506,16517,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,celebrity,exp_away,"P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)",4008,4049,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,celebrity,exp_away,"P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)",4138,4049,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,celebrity,exp_away,"P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)",16798,4049,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,college_wage,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],4781,4788,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,elite_students,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",5246,5167,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,elite_students,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",5246,17727,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,hospitalization,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",19916,7097,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,man_in_relationship,exp_away,"P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)",7409,7298,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,man_in_relationship,exp_away,"P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)",7409,20089,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,man_in_relationship,exp_away,"P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)",7409,20109,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,man_in_relationship,exp_away,"P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)",7409,20189,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,man_in_relationship,exp_away,"P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)",20218,7298,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,man_in_relationship,exp_away,"P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)",20218,20089,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,man_in_relationship,exp_away,"P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)",20218,20109,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,man_in_relationship,exp_away,"P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)",20218,20189,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,neg_mediation,nie,"E[Y_{X=0, V2=1} - Y_{X=0, V2=0}]",21008,20911,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,penguin,marginal,P(Y),15449,2733,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,simpson_kidneystone,correlation,P(Y | X),10196,22686,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,simpson_kidneystone,correlation,P(Y | X),22847,22686,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl,smoke_birthWeight,nde,"E[Y_{X=1, V3=0} - Y_{X=0, V3=0}]",23300,10767,False,0,0,0,1,0,no,yes,yes,yes
qwen3_0_6b,Qwen3-0.6B,stress,anticommonsense,nl_formal,celebrity,collider_bias,"E[Y = 1 | do(X = 1), V3 = 1] - E[Y = 1 | do(X = 0), V3 = 1]",16506,4127,False,0,0,0,1,0,no,yes,yes,yes
