story_id,query_type,formal_form,rung,token_len,clean_id,corrupted_id,clean_label,corrupted_gold_label,clean_prompt,corrupted_prompt,clean_raw_output,corrupted_raw_output
firing_employee,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,212,5144,5133,yes,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 53%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 22%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 73%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 42%. The overall probability of CEO's decision to fire the employee is 81%. Will manager signing the termination letter decrease the chance of employee being fired?","Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 73%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 31%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 90%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 47%. The overall probability of CEO's decision to fire the employee is 91%. Will manager signing the termination letter increase the chance of employee being fired?",Final answer: yes,Final answer: yes
firing_employee,ett,E[Y_{X = 1} - Y_{X = 0} | X = 1],3,258,346,355,yes,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For managers who don't sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 13%. For managers who don't sign termination letters and directors who sign termination letters, the probability of employee being fired is 52%. For managers who sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 49%. For managers who sign termination letters and directors who sign termination letters, the probability of employee being fired is 88%. For managers who don't sign termination letters, the probability of director signing the termination letter is 50%. For managers who sign termination letters, the probability of director signing the termination letter is 56%. For managers who sign termination letters, would it be less likely to see employee being fired if the manager had signed the termination letter?","Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For managers who don't sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 17%. For managers who don't sign termination letters and directors who sign termination letters, the probability of employee being fired is 48%. For managers who sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 47%. For managers who sign termination letters and directors who sign termination letters, the probability of employee being fired is 80%. For managers who don't sign termination letters, the probability of director signing the termination letter is 15%. For managers who sign termination letters, the probability of director signing the termination letter is 39%. For managers who sign termination letters, would it be more likely to see employee being fired if the manager had signed the termination letter?",Final answer: yes,Final answer: yes
firing_employee,ett,E[Y_{X = 1} - Y_{X = 0} | X = 1],3,257,5138,10752,yes,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For managers who don't sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 96%. For managers who don't sign termination letters and directors who sign termination letters, the probability of employee being fired is 59%. For managers who sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 50%. For managers who sign termination letters and directors who sign termination letters, the probability of employee being fired is 13%. For managers who don't sign termination letters, the probability of director signing the termination letter is 8%. For managers who sign termination letters, the probability of director signing the termination letter is 19%. For managers who sign termination letters, would it be more likely to see employee being fired if the manager had signed the termination letter?","Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and having visited England. Having visited England has a direct effect on employee. Director has a direct effect on employee. For people who have not visited England and directors who don't sign termination letters, the probability of employee being fired is 3%. For people who have not visited England and directors who sign termination letters, the probability of employee being fired is 52%. For people who have visited England and directors who don't sign termination letters, the probability of employee being fired is 43%. For people who have visited England and directors who sign termination letters, the probability of employee being fired is 85%. For people who have not visited England, the probability of director signing the termination letter is 22%. For people who have visited England, the probability of director signing the termination letter is 78%. For people who have visited England, would it be more likely to see employee being fired if the person had not visited England?",Final answer: yes,Final answer: yes
floor_wet,backadj,[backdoor adjustment set for Y given X],2,147,590,11026,no,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. Method 1: We look at how season correlates with ground case by case according to sprinkler. Method 2: We look directly at how season correlates with ground in general. To understand how season affects ground, is it more correct to use the Method 1 than Method 2?","Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Full moon has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. Method 1: We look directly at how full moon correlates with ground in general. Method 2: We look at this correlation case by case according to sprinkler. To understand how full moon affects ground, is it more correct to use the Method 1 than Method 2?",Final answer: no,Final answer: no
gender_admission,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",3,234,12687,12575,yes,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on department competitiveness and peanut allergy. Department competitiveness has a direct effect on peanut allergy. For individuals who are not male and applicants to a non-competitive department, the probability of being allergic to peanuts is 75%. For individuals who are not male and applicants to a competitive department, the probability of being allergic to peanuts is 37%. For individuals who are male and applicants to a non-competitive department, the probability of being allergic to peanuts is 72%. For individuals who are male and applicants to a competitive department, the probability of being allergic to peanuts is 21%. For individuals who are not male, the probability of competitive department is 85%. For individuals who are male, the probability of competitive department is 49%. If we disregard the mediation effect through department competitiveness, would gender negatively affect peanut allergy?","Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on department competitiveness and peanut allergy. Department competitiveness has a direct effect on peanut allergy. For individuals who are not male and applicants to a non-competitive department, the probability of being allergic to peanuts is 92%. For individuals who are not male and applicants to a competitive department, the probability of being allergic to peanuts is 61%. For individuals who are male and applicants to a non-competitive department, the probability of being allergic to peanuts is 57%. For individuals who are male and applicants to a competitive department, the probability of being allergic to peanuts is 80%. For individuals who are not male, the probability of competitive department is 83%. For individuals who are male, the probability of competitive department is 18%. If we disregard the mediation effect through department competitiveness, would gender negatively affect peanut allergy?",Final answer: yes,Final answer: yes
gender_pay,nde,"E[Y_{X=1, V3=0} - Y_{X=0, V3=0}]",3,293,7386,2515,yes,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on occupation and salary. Skill has a direct effect on occupation and salary. Occupation has a direct effect on salary. Skill is unobserved. For individuals who are not male and blue-collar workers, the probability of high salary is 37%. For individuals who are not male and white-collar workers, the probability of high salary is 17%. For individuals who are male and blue-collar workers, the probability of high salary is 62%. For individuals who are male and white-collar workers, the probability of high salary is 41%. For individuals who are not male and with low skill levels, the probability of white-collar job is 49%. For individuals who are not male and with high skill levels, the probability of white-collar job is 22%. For individuals who are male and with low skill levels, the probability of white-collar job is 77%. For individuals who are male and with high skill levels, the probability of white-collar job is 49%. The overall probability of high skill level is 92%. If we disregard the mediation effect through occupation, would gender positively affect salary?","Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on occupation and salary. Skill has a direct effect on occupation and salary. Occupation has a direct effect on salary. Skill is unobserved. For individuals who are not male and blue-collar workers, the probability of high salary is 44%. For individuals who are not male and white-collar workers, the probability of high salary is 94%. For individuals who are male and blue-collar workers, the probability of high salary is 29%. For individuals who are male and white-collar workers, the probability of high salary is 74%. For individuals who are not male and with low skill levels, the probability of white-collar job is 39%. For individuals who are not male and with high skill levels, the probability of white-collar job is 29%. For individuals who are male and with low skill levels, the probability of white-collar job is 83%. For individuals who are male and with high skill levels, the probability of white-collar job is 75%. The overall probability of high skill level is 14%. If we disregard the mediation effect through occupation, would gender positively affect salary?",Final answer: yes,Final answer: yes
nature_vs_nurture,nde,"E[Y_{X=1, V3=0} - Y_{X=0, V3=0}]",3,333,2934,7610,no,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Parents' intelligence has a direct effect on parents' social status and child's intelligence. Other unobserved factors has a direct effect on parents' social status and child's intelligence. Parents' social status has a direct effect on child's intelligence. Other unobserved factors is unobserved. For children with unintelligent parents and with low parental social status, the probability of intelligent child is 23%. For children with unintelligent parents and with high parental social status, the probability of intelligent child is 28%. For children with intelligent parents and with low parental social status, the probability of intelligent child is 51%. For children with intelligent parents and with high parental social status, the probability of intelligent child is 53%. For children with unintelligent parents and confounder inactive, the probability of high parental social status is 42%. For children with unintelligent parents and confounder active, the probability of high parental social status is 25%. For children with intelligent parents and confounder inactive, the probability of high parental social status is 93%. For children with intelligent parents and confounder active, the probability of high parental social status is 74%. The overall probability of confounder active is 44%. If we disregard the mediation effect through parents' social status, would parents' intelligence negatively affect child's intelligence?","Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Parents' intelligence has a direct effect on parents' social status and child's intelligence. Other unobserved factors has a direct effect on parents' social status and child's intelligence. Parents' social status has a direct effect on child's intelligence. Other unobserved factors is unobserved. For children with unintelligent parents and with low parental social status, the probability of intelligent child is 83%. For children with unintelligent parents and with high parental social status, the probability of intelligent child is 55%. For children with intelligent parents and with low parental social status, the probability of intelligent child is 52%. For children with intelligent parents and with high parental social status, the probability of intelligent child is 24%. For children with unintelligent parents and confounder inactive, the probability of high parental social status is 71%. For children with unintelligent parents and confounder active, the probability of high parental social status is 56%. For children with intelligent parents and confounder inactive, the probability of high parental social status is 29%. For children with intelligent parents and confounder active, the probability of high parental social status is 47%. The overall probability of confounder active is 42%. If we disregard the mediation effect through parents' social status, would parents' intelligence negatively affect child's intelligence?",Final answer: no,Final answer: no
nonsense1,ett,E[Y_{X = 1} - Y_{X = 0} | X = 1],3,149,21261,25617,no,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kwox has a direct effect on swoq. Swoq has a direct effect on kwoz. For those who are not kwox, the probability of kwoz is 86%. For those who are kwox, the probability of kwoz is 86%. For those who are kwox, would it be more likely to see kwoz if the individual was not kwox?","Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kwox has a direct effect on swoq. Swoq has a direct effect on kwoz. For those who are not kwox, the probability of kwoz is 54%. For those who are kwox, the probability of kwoz is 27%. For those who are kwox, would it be more likely to see kwoz if the individual was not kwox?",Final answer: no,Final answer: no
nonsense3,nie,"E[Y_{X=0, V2=1} - Y_{X=0, V2=0}]",3,135,26488,22127,yes,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yomx has a direct effect on gwet. Gwet has a direct effect on xevu. For those who are not yomx, the probability of xevu is 68%. For those who are yomx, the probability of xevu is 40%. Does yomx negatively affect xevu through gwet?","Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yomx has a direct effect on gwet. Gwet has a direct effect on xevu. For those who are not yomx, the probability of xevu is 70%. For those who are yomx, the probability of xevu is 60%. Does yomx positively affect xevu through gwet?",Final answer: yes,Final answer: yes
nonsense4,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,263,27135,27111,yes,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gyzp has a direct effect on jyka and lirg. Jyka has a direct effect on hwax. Hwax has a direct effect on lirg. Gyzp is unobserved. For those who are not jyka, the probability of hwax is 69%. For those who are jyka, the probability of hwax is 7%. For those who are not jyka and are not hwax, the probability of lirg is 60%. For those who are not jyka and are hwax, the probability of lirg is 72%. For those who are jyka and are not hwax, the probability of lirg is 57%. For those who are jyka and are hwax, the probability of lirg is 60%. The overall probability of jyka is 94%. Will jyka decrease the chance of lirg?","Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gyzp has a direct effect on jyka and lirg. Jyka has a direct effect on hwax. Hwax has a direct effect on lirg. Gyzp is unobserved. For those who are not jyka, the probability of hwax is 47%. For those who are jyka, the probability of hwax is 6%. For those who are not jyka and are not hwax, the probability of lirg is 57%. For those who are not jyka and are hwax, the probability of lirg is 29%. For those who are jyka and are not hwax, the probability of lirg is 63%. For those who are jyka and are hwax, the probability of lirg is 30%. The overall probability of jyka is 21%. Will jyka decrease the chance of lirg?",Final answer: yes,Final answer: yes
nonsense6,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,216,23830,28173,yes,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Zupj has a direct effect on xyfo and yupt. Yupt has a direct effect on muvq. Xyfo has a direct effect on muvq. For those who are not zupj and are not yupt, the probability of muvq is 94%. For those who are not zupj and are yupt, the probability of muvq is 58%. For those who are zupj and are not yupt, the probability of muvq is 92%. For those who are zupj and are yupt, the probability of muvq is 55%. The overall probability of zupj is 95%. Will yupt decrease the chance of muvq?","Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Zupj has a direct effect on xyfo and yupt. Yupt has a direct effect on muvq. Xyfo has a direct effect on muvq. For those who are not zupj and are not yupt, the probability of muvq is 54%. For those who are not zupj and are yupt, the probability of muvq is 43%. For those who are zupj and are not yupt, the probability of muvq is 39%. For those who are zupj and are yupt, the probability of muvq is 65%. The overall probability of zupj is 96%. Will yupt decrease the chance of muvq?",Final answer: yes,Final answer: yes
