id,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form,dataset_variant,subset,diagnostic_source
143,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm, the probability of ringing alarm is 32%. For husbands that set the alarm, the probability of ringing alarm is 45%. Will alarm set by husband decrease the chance of ringing alarm?",no,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.32
P(Y=1 | X=1) = 0.45
0.45 - 0.32 = 0.14
0.14 > 0",2,ate,mediation,alarm,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
166,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. For people not blowing out candles, the probability of dark room is 44%. For people who blow out candles, the probability of dark room is 75%. Will blowing out the candle decrease the chance of dark room?",no,"Let V2 = the candle; X = the man in the room; Y = room.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.44
P(Y=1 | X=1) = 0.75
0.75 - 0.44 = 0.31
0.31 > 0",2,ate,fork,candle,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
1668,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on drug taken and cholesterol level. Treatment assignment has a direct effect on drug taken. Drug taken has a direct effect on cholesterol level. Unobserved confounders is unobserved. For patients not assigned the drug treatment, the probability of low cholesterol is 63%. For patients assigned the drug treatment, the probability of low cholesterol is 79%. For patients not assigned the drug treatment, the probability of taking of all assigned drugs is 25%. For patients assigned the drug treatment, the probability of taking of all assigned drugs is 66%. Will taking of all assigned drugs decrease the chance of low cholesterol?",no,"Let V2 = treatment assignment; V1 = unobserved confounders; X = drug taken; Y = cholesterol level.
V1->X,V2->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
[P(Y=1|V2=1)-P(Y=1|V2=0)]/[P(X=1|V2=1)-P(X=1|V2=0)]
P(Y=1 | V2=0) = 0.63
P(Y=1 | V2=1) = 0.79
P(X=1 | V2=0) = 0.25
P(X=1 | V2=1) = 0.66
(0.79 - 0.63) / (0.66 - 0.25) = 0.38
0.38 > 0",2,ate,IV,cholesterol,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
16780,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on having a sister and cholesterol level. Treatment assignment has a direct effect on having a sister. Having a sister has a direct effect on cholesterol level. Unobserved confounders is unobserved. For patients not assigned the drug treatment, the probability of low cholesterol is 54%. For patients assigned the drug treatment, the probability of low cholesterol is 51%. For patients not assigned the drug treatment, the probability of having a sister is 65%. For patients assigned the drug treatment, the probability of having a sister is 31%. Will having a sister decrease the chance of low cholesterol?",no,"Let V2 = treatment assignment; V1 = unobserved confounders; X = having a sister; Y = cholesterol level.
V1->X,V2->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
[P(Y=1|V2=1)-P(Y=1|V2=0)]/[P(X=1|V2=1)-P(X=1|V2=0)]
P(Y=1 | V2=0) = 0.54
P(Y=1 | V2=1) = 0.51
P(X=1 | V2=0) = 0.65
P(X=1 | V2=1) = 0.31
(0.51 - 0.54) / (0.31 - 0.65) = 0.09
0.09 > 0",2,ate,IV,cholesterol,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
1676,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Education level has a direct effect on skill. Skill has a direct effect on salary. For people without a college degree, the probability of high salary is 13%. For people with a college degree or higher, the probability of high salary is 58%. Will college degree or higher decrease the chance of high salary?",no,"Let X = education level; V2 = skill; Y = salary.
X->V2,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.13
P(Y=1 | X=1) = 0.58
0.58 - 0.13 = 0.45
0.45 > 0",2,ate,chain,college_salary,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
6638,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on education level and salary. Proximity to a college has a direct effect on education level. Education level has a direct effect on salary. Unobserved confounders is unobserved. For people living far from a college, the probability of high salary is 11%. For people living close to a college, the probability of high salary is 27%. For people living far from a college, the probability of college degree or higher is 93%. For people living close to a college, the probability of college degree or higher is 52%. Will college degree or higher increase the chance of high salary?",no,"Let V2 = proximity to a college; V1 = unobserved confounders; X = education level; Y = salary.
V1->X,V2->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
[P(Y=1|V2=1)-P(Y=1|V2=0)]/[P(X=1|V2=1)-P(X=1|V2=0)]
P(Y=1 | V2=0) = 0.11
P(Y=1 | V2=1) = 0.27
P(X=1 | V2=0) = 0.93
P(X=1 | V2=1) = 0.52
(0.27 - 0.11) / (0.52 - 0.93) = -0.38
-0.38 < 0",2,ate,IV,college_wage,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
17023,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on education level and foot size. Proximity to a college has a direct effect on education level. Education level has a direct effect on foot size. Unobserved confounders is unobserved. For people living far from a college, the probability of large feet is 41%. For people living close to a college, the probability of large feet is 59%. For people living far from a college, the probability of college degree or higher is 49%. For people living close to a college, the probability of college degree or higher is 9%. Will college degree or higher increase the chance of large feet?",no,"Let V2 = proximity to a college; V1 = unobserved confounders; X = education level; Y = foot size.
V1->X,V2->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
[P(Y=1|V2=1)-P(Y=1|V2=0)]/[P(X=1|V2=1)-P(X=1|V2=0)]
P(Y=1 | V2=0) = 0.41
P(Y=1 | V2=1) = 0.59
P(X=1 | V2=0) = 0.49
P(X=1 | V2=1) = 0.09
(0.59 - 0.41) / (0.09 - 0.49) = -0.44
-0.44 < 0",2,ate,IV,college_wage,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
5128,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 44%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 7%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 76%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 34%. The overall probability of CEO's decision to fire the employee is 89%. Will manager signing the termination letter increase the chance of employee being fired?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.44
P(Y=1 | V1=0, X=1) = 0.07
P(Y=1 | V1=1, X=0) = 0.76
P(Y=1 | V1=1, X=1) = 0.34
P(V1=1) = 0.89
0.11 * (0.07 - 0.44) 0.89 * (0.34 - 0.76) = -0.41
-0.41 < 0",2,ate,diamondcut,firing_employee,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
5314,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The captain has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. For captains who release prisoners, the probability of the prisoner's death is 31%. For captains who execute prisoners, the probability of the prisoner's death is 72%. Will the captain's order to execute the prisoner decrease the chance of the prisoner's death?",no,"Let X = the captain; V3 = the private; V2 = the corporal; Y = prisoner.
X->V3,X->V2,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.31
P(Y=1 | X=1) = 0.72
0.72 - 0.31 = 0.41
0.41 > 0",2,ate,diamond,firing_squad,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
5455,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. For people in the dry season, the probability of wet ground is 49%. For in the rainy season, the probability of wet ground is 49%. Will rainy season increase the chance of wet ground?",no,"Let X = season; V3 = sprinkler; V2 = weather; Y = ground.
X->V3,X->V2,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.49
P(Y=1 | X=1) = 0.49
0.49 - 0.49 = -0.00
0.00 = 0",2,ate,diamond,floor_wet,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
