id,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form,subset
22309,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Cwoi has a direct effect on yomx and xevu. Yomx has a direct effect on gwet. Gwet has a direct effect on xevu. Cwoi is unobserved. For those who are not yomx, the probability of gwet is 30%. For those who are yomx, the probability of gwet is 16%. For those who are not yomx and are not gwet, the probability of xevu is 5%. For those who are not yomx and are gwet, the probability of xevu is 45%. For those who are yomx and are not gwet, the probability of xevu is 6%. For those who are yomx and are gwet, the probability of xevu is 25%. The overall probability of yomx is 42%. Will yomx increase the chance of xevu?",no,"Let V1 = cwoi; X = yomx; V3 = gwet; Y = xevu.
V1->X,X->V3,V1->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V3 = v} [P(V3 = v|X = 1) - P(V3 = v|X = 0)] * [\sum_{X = h} P(Y = 1|X = h,V3 = v)*P(X = h)]
P(V3=1 | X=0) = 0.30
P(V3=1 | X=1) = 0.16
P(Y=1 | X=0, V3=0) = 0.05
P(Y=1 | X=0, V3=1) = 0.45
P(Y=1 | X=1, V3=0) = 0.06
P(Y=1 | X=1, V3=1) = 0.25
P(X=1) = 0.42
(0.16 - 0.30)* (0.25 * 0.42) + (0.84 - 0.70) * (0.45 * 0.58) = -0.04
-0.04 < 0",2,ate,frontdoor,nonsense3,nonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],smoke
25091,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on zory and zuph. Zuph has a direct effect on glimx. Zory has a direct effect on glimx. For those who are not jyka and are not zuph, the probability of glimx is 68%. For those who are not jyka and are zuph, the probability of glimx is 44%. For those who are jyka and are not zuph, the probability of glimx is 75%. For those who are jyka and are zuph, the probability of glimx is 67%. The overall probability of jyka is 29%. Will zuph increase the chance of glimx?",no,"Let V1 = jyka; V3 = zory; X = zuph; Y = glimx.
V1->V3,V1->X,X->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.68
P(Y=1 | V1=0, X=1) = 0.44
P(Y=1 | V1=1, X=0) = 0.75
P(Y=1 | V1=1, X=1) = 0.67
P(V1=1) = 0.29
0.71 * (0.44 - 0.68) 0.29 * (0.67 - 0.75) = -0.19
-0.19 < 0",2,ate,diamondcut,nonsense9,nonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],smoke
27083,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on hwax and lirg. Hwax has a direct effect on lirg. For those who are not jyka, the probability of lirg is 5%. For those who are jyka, the probability of lirg is 27%. Will jyka decrease the chance of lirg?",no,"Let X = jyka; V2 = hwax; Y = lirg.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.05
P(Y=1 | X=1) = 0.27
0.27 - 0.05 = 0.22
0.22 > 0",2,ate,mediation,nonsense4,nonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],smoke
8409,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on treatment and recovery. Treatment has a direct effect on recovery. For patients who are not male and not receiving treatment, the probability of recovery is 98%. For patients who are not male and receiving treatment, the probability of recovery is 64%. For patients who are male and not receiving treatment, the probability of recovery is 36%. For patients who are male and receiving treatment, the probability of recovery is 2%. The overall probability of male gender is 48%. Will receives treatment decrease the chance of recovery?",yes,"Let V1 = gender; X = treatment; Y = recovery.
V1->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.98
P(Y=1 | V1=0, X=1) = 0.64
P(Y=1 | V1=1, X=0) = 0.36
P(Y=1 | V1=1, X=1) = 0.02
P(V1=1) = 0.48
0.52 * (0.64 - 0.98) + 0.48 * (0.02 - 0.36) = -0.34
-0.34 < 0",2,ate,confounding,simpson_drug,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],smoke
8825,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Maternal smoking status has a direct effect on infant's birth weight and infant mortality. Health condition has a direct effect on infant's birth weight and infant mortality. Infant's birth weight has a direct effect on infant mortality. Health condition is unobserved. For infants with nonsmoking mothers, the probability of high infant mortality is 59%. For infants with smoking mothers, the probability of high infant mortality is 26%. Will smoking mother decrease the chance of high infant mortality?",yes,"Let V2 = health condition; X = maternal smoking status; V3 = infant's birth weight; Y = infant mortality.
X->V3,V2->V3,X->Y,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.59
P(Y=1 | X=1) = 0.26
0.26 - 0.59 = -0.33
-0.33 < 0",2,ate,arrowhead,smoke_birthWeight,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],smoke
10782,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner. For people who do not have a sister, the probability of the prisoner's death is 20%. For people who have a sister, the probability of the prisoner's death is 53%. Will having a sister increase the chance of the prisoner's death?",yes,"Let X = having a sister; V3 = the private; V2 = the corporal; Y = prisoner.
X->V3,X->V2,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.20
P(Y=1 | X=1) = 0.53
0.53 - 0.20 = 0.33
0.33 > 0",2,ate,diamond,firing_squad,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],smoke
30,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. Method 1: We look at how husband correlates with alarm clock case by case according to wife. Method 2: We look directly at how husband correlates with alarm clock in general. To understand how husband affects alarm clock, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,mediation,alarm,easy,[backdoor adjustment set for Y given X],smoke
27875,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Zupj has a direct effect on yupt and muvq. Yupt has a direct effect on muvq. Method 1: We look directly at how yupt correlates with muvq in general. Method 2: We look at this correlation case by case according to zupj. To understand how yupt affects muvq, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,confounding,nonsense6,nonsense,[backdoor adjustment set for Y given X],smoke
28545,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Zuph has a direct effect on wibl and uvzi. Vubr has a direct effect on wibl and uvzi. Wibl has a direct effect on uvzi. Vubr is unobserved. Method 1: We look at how zuph correlates with uvzi case by case according to wibl. Method 2: We look directly at how zuph correlates with uvzi in general. To understand how zuph affects uvzi, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,arrowhead,nonsense7,nonsense,[backdoor adjustment set for Y given X],smoke
6901,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Encouragement level has a direct effect on studying habit and exam score. Studying habit has a direct effect on exam score. Method 1: We look directly at how encouragement level correlates with exam score in general. Method 2: We look at this correlation case by case according to studying habit. To understand how encouragement level affects exam score, is it more correct to use the Method 1 than Method 2?",yes,"nan
nan
nan
nan
nan
nan
nan",2,backadj,mediation,encouagement_program,hard,[backdoor adjustment set for Y given X],smoke
