model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,story_id,query_type,formal_form,left_sample_id,right_sample_id,has_invalid,strict_contrast_consistent,correct_flip,wrong_flip,invariant_yes,invariant_no,left_gold_label,right_gold_label,left_parsed_label,right_parsed_label
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,correlation,P(Y | X),15239,10457,False,0,0,0,1,0,no,yes,yes,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,correlation,P(Y | X),15239,15293,False,0,0,0,1,0,no,yes,yes,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,correlation,P(Y | X),15313,10457,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,correlation,P(Y | X),15313,15293,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",119,88,False,0,0,0,1,0,no,yes,yes,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",119,4835,False,0,0,0,1,0,no,yes,yes,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",10462,88,False,0,0,0,1,0,no,yes,yes,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",10462,4835,False,0,0,0,1,0,no,yes,yes,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",15204,88,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",15204,4835,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",15258,88,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",15258,4835,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,alarm,nie,"E[Y_{X=0, V2=1} - Y_{X=0, V2=0}]",10465,10414,True,0,0,0,0,0,no,yes,invalid,invalid
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,blood_pressure,backadj,[backdoor adjustment set for Y given X],11741,1326,False,1,0,1,0,0,no,yes,yes,no
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,blood_pressure,correlation,P(Y | X),1421,6121,False,0,0,0,1,0,no,yes,yes,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,blood_pressure,correlation,P(Y | X),1421,6206,False,1,0,1,0,0,no,yes,yes,no
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,blood_pressure,marginal,P(Y),11759,6192,False,1,0,1,0,0,no,yes,yes,no
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,blood_pressure,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",1460,11745,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,blood_pressure,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",16591,11745,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,candle,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],166,4986,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,candle,ett,E[Y_{X = 1} - Y_{X = 0} | X = 1],5074,10599,False,1,0,1,0,0,no,yes,yes,no
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,celebrity,backadj,[backdoor adjustment set for Y given X],16696,16732,False,0,0,0,0,1,no,yes,no,no
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,cholesterol,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],1668,12055,False,0,0,0,1,0,no,yes,yes,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,cholesterol,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],16780,12055,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,cholesterol,correlation,P(Y | X),12053,6428,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,cholesterol,correlation,P(Y | X),12053,16751,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,cholesterol,correlation,P(Y | X),16750,6428,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,cholesterol,correlation,P(Y | X),16750,16751,False,1,1,0,0,0,no,yes,no,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,cholesterol,marginal,P(Y),11987,11990,False,0,0,0,1,0,no,yes,yes,yes
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,college_salary,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],1676,1693,False,1,1,0,0,0,no,yes,no,yes
