id,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form,subset
295,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. The overall probability of manager signing the termination letter is 30%. The probability of manager not signing the termination letter and employee being fired is 13%. The probability of manager signing the termination letter and employee being fired is 17%. Is the chance of employee being fired smaller when observing manager signing the termination letter?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.30
P(Y=1, X=0=1) = 0.13
P(Y=1, X=1=1) = 0.17
0.17/0.30 - 0.13/0.70 = 0.39
0.39 > 0",1,correlation,diamondcut,firing_employee,easy,P(Y | X),scenario_source
813,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Alice waking up has a direct effect on Alice arriving to school. Traffic has a direct effect on Alice arriving to school. The overall probability of waking up late is 42%. For days when Alice wakes up on time, the probability of arriving to school on time is 62%. For days when Alice wakes up late, the probability of arriving to school on time is 31%. Is arriving to school on time more likely than arriving to school late overall?",no,"Let V2 = traffic; X = Alice waking up; Y = Alice arriving to school.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.42
P(Y=1 | X=0) = 0.62
P(Y=1 | X=1) = 0.31
0.42*0.31 - 0.58*0.62 = 0.49
0.49 > 0",1,marginal,fork,getting_late,easy,P(Y),scenario_source
14162,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kidney stone size has a direct effect on treatment and lip thickness. Treatment has a direct effect on lip thickness. The overall probability of receives treatment is 57%. The probability of receives no treatment and thick lips is 25%. The probability of receives treatment and thick lips is 21%. Is the chance of thick lips smaller when observing receives treatment?",yes,"Let V1 = kidney stone size; X = treatment; Y = lip thickness.
V1->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.57
P(Y=1, X=0=1) = 0.25
P(Y=1, X=1=1) = 0.21
0.21/0.57 - 0.25/0.43 = -0.20
-0.20 < 0",1,correlation,confounding,simpson_kidneystone,anticommonsense,P(Y | X),scenario_source
14234,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kidney stone size has a direct effect on treatment and lip thickness. Treatment has a direct effect on lip thickness. The overall probability of receives treatment is 64%. For patients not receiving treatment, the probability of thick lips is 80%. For patients receiving treatment, the probability of thick lips is 51%. Is thick lips more likely than thin lips overall?",yes,"Let V1 = kidney stone size; X = treatment; Y = lip thickness.
V1->X,V1->Y,X->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.64
P(Y=1 | X=0) = 0.80
P(Y=1 | X=1) = 0.51
0.64*0.51 - 0.36*0.80 = 0.61
0.61 > 0",1,marginal,confounding,simpson_kidneystone,anticommonsense,P(Y),scenario_source
21628,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Swoq has a direct effect on muvy and kwox. Kwox has a direct effect on kwoz. Muvy has a direct effect on kwoz. For those who are not swoq and are not kwox, the probability of kwoz is 67%. For those who are not swoq and are kwox, the probability of kwoz is 10%. For those who are swoq and are not kwox, the probability of kwoz is 84%. For those who are swoq and are kwox, the probability of kwoz is 14%. The overall probability of swoq is 90%. Will kwox increase the chance of kwoz?",no,"Let V1 = swoq; V3 = muvy; X = kwox; Y = kwoz.
V1->V3,V1->X,X->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.67
P(Y=1 | V1=0, X=1) = 0.10
P(Y=1 | V1=1, X=0) = 0.84
P(Y=1 | V1=1, X=1) = 0.14
P(V1=1) = 0.90
0.10 * (0.10 - 0.67) 0.90 * (0.14 - 0.84) = -0.68
-0.68 < 0",2,ate,diamondcut,nonsense1,nonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],scenario_source
27083,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on hwax and lirg. Hwax has a direct effect on lirg. For those who are not jyka, the probability of lirg is 5%. For those who are jyka, the probability of lirg is 27%. Will jyka decrease the chance of lirg?",no,"Let X = jyka; V2 = hwax; Y = lirg.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.05
P(Y=1 | X=1) = 0.27
0.27 - 0.05 = 0.22
0.22 > 0",2,ate,mediation,nonsense4,nonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],scenario_source
1693,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Education level has a direct effect on skill. Skill has a direct effect on salary. For people without a college degree, the probability of high salary is 21%. For people with a college degree or higher, the probability of high salary is 38%. Will college degree or higher increase the chance of high salary?",yes,"Let X = education level; V2 = skill; Y = salary.
X->V2,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.21
P(Y=1 | X=1) = 0.38
0.38 - 0.21 = 0.18
0.18 > 0",2,ate,chain,college_salary,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],scenario_source
15182,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Poverty has a direct effect on liking spicy food and cholera. Water company has a direct effect on liking spicy food. Liking spicy food has a direct effect on cholera. Poverty is unobserved. For people served by a local water company, the probability of cholera contraction is 55%. For people served by a global water company, the probability of cholera contraction is 43%. For people served by a local water company, the probability of liking spicy food is 12%. For people served by a global water company, the probability of liking spicy food is 65%. Will liking spicy food decrease the chance of cholera contraction?",yes,"Let V2 = water company; V1 = poverty; X = liking spicy food; Y = cholera.
V1->X,V2->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
[P(Y=1|V2=1)-P(Y=1|V2=0)]/[P(X=1|V2=1)-P(X=1|V2=0)]
P(Y=1 | V2=0) = 0.55
P(Y=1 | V2=1) = 0.43
P(X=1 | V2=0) = 0.12
P(X=1 | V2=1) = 0.65
(0.43 - 0.55) / (0.65 - 0.12) = -0.21
-0.21 < 0",2,ate,IV,water_cholera,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],scenario_source
10048,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Demand has a direct effect on supply and price. Yield per acre has a direct effect on supply. Supply has a direct effect on price. Demand is unobserved. We know that increased demand or increased yield per acre causes increased supply. increased demand and increased supply causes increased price. We observed the farm has an increased yield per acre and the demand is high. Would there is a reduced price if increased supply instead of reduced supply?",no,"Let V2 = yield per acre; V1 = demand; X = supply; Y = price.
V1->X,V2->X,V1->Y,X->Y
Y_{X=1} = 0 | V2=1, V1=1
Solve for Y, given the evidence and the action
V2 = 1
V1 = 1
X = V1 or V2
Y = V1 and X
Y = 1 = 1 and 1
0",3,det-counterfactual,IV,price,commonsense,"Y_{X=1} = 0 | V2=1, V1=1",scenario_source
22708,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on hwax and lirg. Hwax has a direct effect on lirg. For those who are not jyka and are not hwax, the probability of lirg is 85%. For those who are not jyka and are hwax, the probability of lirg is 27%. For those who are jyka and are not hwax, the probability of lirg is 92%. For those who are jyka and are hwax, the probability of lirg is 62%. For those who are not jyka, the probability of hwax is 43%. For those who are jyka, the probability of hwax is 76%. If we disregard the mediation effect through hwax, would jyka negatively affect lirg?",no,"Let X = jyka; V2 = hwax; Y = lirg.
X->V2,X->Y,V2->Y
E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]
\sum_{V2=v} P(V2=v|X=0)*[P(Y=1|X=1,V2=v) - P(Y=1|X=0, V2=v)]
P(Y=1 | X=0, V2=0) = 0.85
P(Y=1 | X=0, V2=1) = 0.27
P(Y=1 | X=1, V2=0) = 0.92
P(Y=1 | X=1, V2=1) = 0.62
P(V2=1 | X=0) = 0.43
P(V2=1 | X=1) = 0.76
0.43 * (0.62 - 0.92) + 0.76 * (0.27 - 0.85) = 0.19
0.19 > 0",3,nde,mediation,nonsense4,nonsense,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",scenario_source
