sample_id,model,model_display_name,nl_correct,nl_invalid,nl_parsed_label,symbolic_correct,symbolic_invalid,symbolic_parsed_label,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form,dataset_variant,subset,diagnostic_source
16780,qwen3_8b,Qwen3-8B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on having a sister and cholesterol level. Treatment assignment has a direct effect on having a sister. Having a sister has a direct effect on cholesterol level. Unobserved confounders is unobserved. For patients not assigned the drug treatment, the probability of low cholesterol is 54%. For patients assigned the drug treatment, the probability of low cholesterol is 51%. For patients not assigned the drug treatment, the probability of having a sister is 65%. For patients assigned the drug treatment, the probability of having a sister is 31%. Will having a sister decrease the chance of low cholesterol?",no,"Let V2 = treatment assignment; V1 = unobserved confounders; X = having a sister; Y = cholesterol level.
V1->X,V2->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
[P(Y=1|V2=1)-P(Y=1|V2=0)]/[P(X=1|V2=1)-P(X=1|V2=0)]
P(Y=1 | V2=0) = 0.54
P(Y=1 | V2=1) = 0.51
P(X=1 | V2=0) = 0.65
P(X=1 | V2=1) = 0.31
(0.51 - 0.54) / (0.31 - 0.65) = 0.09
0.09 > 0",2,ate,IV,cholesterol,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
7551,qwen3_8b,Qwen3-8B,0,False,no,1,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Personality has a direct effect on relationship status. Appearance has a direct effect on relationship status. Method 1: We look directly at how personality correlates with appearance in general. Method 2: We look at this correlation case by case according to relationship status. To understand how personality affects appearance, is it more correct to use the Method 1 than Method 2?",yes,"nan
nan
nan
nan
nan
nan
nan",2,backadj,collision,man_in_relationship,hard,[backdoor adjustment set for Y given X],main,formal,main
16750,qwen3_8b,Qwen3-8B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on having a sister and cholesterol level. Treatment assignment has a direct effect on having a sister. Having a sister has a direct effect on cholesterol level. Unobserved confounders is unobserved. The overall probability of having a sister is 20%. The probability of not having a sister and low cholesterol is 65%. The probability of having a sister and low cholesterol is 14%. Is the chance of low cholesterol larger when observing having a sister?",no,"Let V2 = treatment assignment; V1 = unobserved confounders; X = having a sister; Y = cholesterol level.
V1->X,V2->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.20
P(Y=1, X=0=1) = 0.65
P(Y=1, X=1=1) = 0.14
0.14/0.20 - 0.65/0.80 = -0.10
-0.10 < 0",1,correlation,IV,cholesterol,anticommonsense,P(Y | X),main,formal,main
20639,qwen3_8b,Qwen3-8B,0,False,no,1,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and peanut allergy. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on peanut allergy. Gender is unobserved. We know that female causes smoking. smoking causes high tar deposit. female and high tar deposit causes being allergic to peanuts. We observed the person is non-female. Would the person is not allergic to peanuts if smoking instead of nonsmoking?",yes,"Let V1 = gender; X = smoking; V3 = tar deposit; Y = peanut allergy.
V1->X,X->V3,V1->Y,V3->Y
Y_{X=1} = 0 | V1=0
Solve for Y, given the evidence and the action
V1 = 0
X = V1
V3 = X
Y = V1 and V3
Y = 0 = 0 and 1
1",3,det-counterfactual,frontdoor,smoking_frontdoor,anticommonsense,Y_{X=1} = 0 | V1=0,main,formal,main
4912,qwen3_8b,Qwen3-8B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm, the probability of ringing alarm is 79%. For husbands that set the alarm, the probability of ringing alarm is 31%. For husbands that set the alarm, would it be less likely to see ringing alarm if the husband had not set the alarm?",no,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.79
P(Y=1 | X=1) = 0.31
0.31 - 0.79 = -0.48
-0.48 < 0",3,ett,mediation,alarm,hard,E[Y_{X = 1} - Y_{X = 0} | X = 1],main,formal,main
23422,qwen3_8b,Qwen3-8B,0,False,no,1,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on kwox. Yupt has a direct effect on kwox. The overall probability of jyka is 53%. For those who are not jyka, the probability of kwox is 13%. For those who are jyka, the probability of kwox is 25%. Is kwox less likely than not kwox overall?",yes,"Let V2 = yupt; X = jyka; Y = kwox.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.53
P(Y=1 | X=0) = 0.13
P(Y=1 | X=1) = 0.25
0.53*0.25 - 0.47*0.13 = 0.20
0.20 > 0",1,marginal,fork,nonsense5,nonsense,P(Y),main,formal,main
19236,qwen3_8b,Qwen3-8B,0,False,no,1,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on infant's birth weight and infant mortality. Health condition has a direct effect on infant's birth weight and infant mortality. Infant's birth weight has a direct effect on infant mortality. Health condition is unobserved. For infants who do not have a sister and low infant birth weight, the probability of high infant mortality is 42%. For infants who do not have a sister and normal infant birth weight, the probability of high infant mortality is 69%. For infants who have a sister and low infant birth weight, the probability of high infant mortality is 20%. For infants who have a sister and normal infant birth weight, the probability of high infant mortality is 44%. For infants who do not have a sister and with poor health, the probability of normal infant birth weight is 62%. For infants who do not have a sister and with good health, the probability of normal infant birth weight is 39%. For infants who have a sister and with poor health, the probability of normal infant birth weight is 95%. For infants who have a sister and with good health, the probability of normal infant birth weight is 72%. The overall probability of good health is 3%. If we disregard the mediation effect through infant's birth weight, would having a sister negatively affect infant mortality?",yes,"Let V2 = health condition; X = having a sister; V3 = infant's birth weight; Y = infant mortality.
X->V3,V2->V3,X->Y,V2->Y,V3->Y
E[Y_{X=1, V3=0} - Y_{X=0, V3=0}]
\sum_{V3=v} [\sum_{V2=k}[P(Y=1|X=1,V3=v)-P(Y=1|X=0,V3=v)]*P(V3=v|X=0,V2=k)*P(V2=k)]
P(Y=1 | X=0, V3=0) = 0.42
P(Y=1 | X=0, V3=1) = 0.69
P(Y=1 | X=1, V3=0) = 0.20
P(Y=1 | X=1, V3=1) = 0.44
P(V3=1 | X=0, V2=0) = 0.62
P(V3=1 | X=0, V2=1) = 0.39
P(V3=1 | X=1, V2=0) = 0.95
P(V3=1 | X=1, V2=1) = 0.72
P(V2=1) = 0.03
0.03 * (0.44 - 0.20) * 0.39 + 0.97 * (0.69 - 0.42) * 0.95 = -0.24
-0.24 < 0",3,nde,arrowhead,smoke_birthWeight,anticommonsense,"E[Y_{X=1, V3=0} - Y_{X=0, V3=0}]",main,formal,main
20959,qwen3_8b,Qwen3-8B,0,False,no,1,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Swoy has a direct effect on rixq and xevu. Rixq has a direct effect on zuph. Zuph has a direct effect on xevu. Swoy is unobserved. For those who are not rixq, the probability of zuph is 50%. For those who are rixq, the probability of zuph is 5%. For those who are not rixq and are not zuph, the probability of xevu is 40%. For those who are not rixq and are zuph, the probability of xevu is 53%. For those who are rixq and are not zuph, the probability of xevu is 38%. For those who are rixq and are zuph, the probability of xevu is 51%. The overall probability of rixq is 20%. Does rixq negatively affect xevu through zuph?",yes,"Let V1 = swoy; X = rixq; V3 = zuph; Y = xevu.
V1->X,X->V3,V1->Y,V3->Y
E[Y_{X=0, V3=1} - Y_{X=0, V3=0}]
\sum_{V3 = v} [P(V3 = v|X = 1) - P(V3 = v|X = 0)] * [\sum_{X = h} P(Y = 1|X = h,V3 = v)*P(X = h)]
P(V3=1 | X=0) = 0.50
P(V3=1 | X=1) = 0.05
P(Y=1 | X=0, V3=0) = 0.40
P(Y=1 | X=0, V3=1) = 0.53
P(Y=1 | X=1, V3=0) = 0.38
P(Y=1 | X=1, V3=1) = 0.51
P(X=1) = 0.20
0.05 - 0.50 * (0.51 * 0.20 + 0.53 * 0.80)= -0.06
-0.06 < 0",3,nie,frontdoor,nonsense0,nonsense,"E[Y_{X=0, V3=1} - Y_{X=0, V3=0}]",main,formal,main
15133,qwen3_8b,Qwen3-8B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Poverty has a direct effect on liking spicy food and cholera. Water company has a direct effect on liking spicy food. Liking spicy food has a direct effect on cholera. Poverty is unobserved. For people served by a local water company, the probability of cholera contraction is 72%. For people served by a global water company, the probability of cholera contraction is 61%. For people served by a local water company, the probability of liking spicy food is 6%. For people served by a global water company, the probability of liking spicy food is 42%. Will liking spicy food increase the chance of cholera contraction?",no,"Let V2 = water company; V1 = poverty; X = liking spicy food; Y = cholera.
V1->X,V2->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
[P(Y=1|V2=1)-P(Y=1|V2=0)]/[P(X=1|V2=1)-P(X=1|V2=0)]
P(Y=1 | V2=0) = 0.72
P(Y=1 | V2=1) = 0.61
P(X=1 | V2=0) = 0.06
P(X=1 | V2=1) = 0.42
(0.61 - 0.72) / (0.42 - 0.06) = -0.29
-0.29 < 0",2,ate,IV,water_cholera,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
27833,qwen3_8b,Qwen3-8B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yupt has a direct effect on zupj. Muvq has a direct effect on zupj. Method 1: We look at how yupt correlates with muvq case by case according to zupj. Method 2: We look directly at how yupt correlates with muvq in general. To understand how yupt affects muvq, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,collision,nonsense6,nonsense,[backdoor adjustment set for Y given X],main,formal,main
