sample_id,model,model_display_name,nl_correct,nl_invalid,nl_parsed_label,formal_correct,formal_invalid,formal_parsed_label,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form,dataset_variant,subset,diagnostic_source
12055,qwen3_4b,Qwen3-4B,0,False,no,1,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on drug taken and freckles. Treatment assignment has a direct effect on drug taken. Drug taken has a direct effect on freckles. Unobserved confounders is unobserved. For patients not assigned the drug treatment, the probability of freckles is 19%. For patients assigned the drug treatment, the probability of freckles is 26%. For patients not assigned the drug treatment, the probability of taking of all assigned drugs is 26%. For patients assigned the drug treatment, the probability of taking of all assigned drugs is 59%. Will taking of all assigned drugs increase the chance of freckles?",yes,"Let V2 = treatment assignment; V1 = unobserved confounders; X = drug taken; Y = freckles.
V1->X,V2->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
[P(Y=1|V2=1)-P(Y=1|V2=0)]/[P(X=1|V2=1)-P(X=1|V2=0)]
P(Y=1 | V2=0) = 0.19
P(Y=1 | V2=1) = 0.26
P(X=1 | V2=0) = 0.26
P(X=1 | V2=1) = 0.59
(0.26 - 0.19) / (0.59 - 0.26) = 0.20
0.20 > 0",2,ate,IV,cholesterol,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
5128,qwen3_4b,Qwen3-4B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 44%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 7%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 76%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 34%. The overall probability of CEO's decision to fire the employee is 89%. Will manager signing the termination letter increase the chance of employee being fired?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.44
P(Y=1 | V1=0, X=1) = 0.07
P(Y=1 | V1=1, X=0) = 0.76
P(Y=1 | V1=1, X=1) = 0.34
P(V1=1) = 0.89
0.11 * (0.07 - 0.44) 0.89 * (0.34 - 0.76) = -0.41
-0.41 < 0",2,ate,diamondcut,firing_employee,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
21676,qwen3_4b,Qwen3-4B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kwox has a direct effect on kwoz. Swoq has a direct effect on kwoz. For those who are not kwox, the probability of kwoz is 93%. For those who are kwox, the probability of kwoz is 78%. Will kwox increase the chance of kwoz?",no,"Let V2 = swoq; X = kwox; Y = kwoz.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.93
P(Y=1 | X=1) = 0.78
0.78 - 0.93 = -0.14
-0.14 < 0",2,ate,fork,nonsense1,nonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
18982,qwen3_4b,Qwen3-4B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kidney stone size has a direct effect on ability to speak english and recovery. Ability to speak english has a direct effect on recovery. For patients who have small kidney stones and do not speak english, the probability of recovery is 86%. For patients who have small kidney stones and speak english, the probability of recovery is 75%. For patients who have large kidney stones and do not speak english, the probability of recovery is 19%. For patients who have large kidney stones and speak english, the probability of recovery is 9%. The overall probability of large kidney stone is 55%. Will speaking english increase the chance of recovery?",no,"Let V1 = kidney stone size; X = ability to speak english; Y = recovery.
V1->X,V1->Y,X->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.86
P(Y=1 | V1=0, X=1) = 0.75
P(Y=1 | V1=1, X=0) = 0.19
P(Y=1 | V1=1, X=1) = 0.09
P(V1=1) = 0.55
0.45 * (0.75 - 0.86) + 0.55 * (0.09 - 0.19) = -0.10
-0.10 < 0",2,ate,confounding,simpson_kidneystone,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],main,formal,main
15239,qwen3_4b,Qwen3-4B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a brother has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. The overall probability of having a brother is 13%. The probability of not having a brother and ringing alarm is 63%. The probability of having a brother and ringing alarm is 3%. Is the chance of ringing alarm larger when observing having a brother?",no,"Let X = having a brother; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.13
P(Y=1, X=0=1) = 0.63
P(Y=1, X=1=1) = 0.03
0.03/0.13 - 0.63/0.87 = -0.48
-0.48 < 0",1,correlation,mediation,alarm,anticommonsense,P(Y | X),main,formal,main
17611,qwen3_4b,Qwen3-4B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on department competitiveness and freckles. Residency status has a direct effect on department competitiveness and freckles. Department competitiveness has a direct effect on freckles. Residency status is unobserved. The overall probability of male gender is 13%. The probability of non-male gender and freckles is 36%. The probability of male gender and freckles is 9%. Is the chance of freckles smaller when observing male gender?",no,"Let V2 = residency status; X = gender; V3 = department competitiveness; Y = freckles.
X->V3,V2->V3,X->Y,V2->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.13
P(Y=1, X=0=1) = 0.36
P(Y=1, X=1=1) = 0.09
0.09/0.13 - 0.36/0.87 = 0.33
0.33 > 0",1,correlation,arrowhead,gender_admission_state,anticommonsense,P(Y | X),main,formal,main
10129,qwen3_4b,Qwen3-4B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kidney stone size has a direct effect on treatment and recovery. Treatment has a direct effect on recovery. We know that large kidney stone causes receives no treatment. large kidney stone or receives treatment causes recovery. We observed the patient has a large kidney stone. Would the patient doesn't recover if receives no treatment instead of receives treatment?",no,"Let V1 = kidney stone size; X = treatment; Y = recovery.
V1->X,V1->Y,X->Y
Y_{X=0} = 0 | V1=1
Solve for Y, given the evidence and the action
V1 = 1
X = not V1
Y = V1 or X
Y = 1 = 1 or 0
0",3,det-counterfactual,confounding,simpson_kidneystone,commonsense,Y_{X=0} = 0 | V1=1,main,formal,main
20089,qwen3_4b,Qwen3-4B,0,False,yes,1,False,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a brother has a direct effect on vaccination reaction and getting smallpox. Getting smallpox has a direct effect on smallpox survival. Vaccination reaction has a direct effect on smallpox survival. We know that having a brother causes having smallpox and no vaccine reaction. having smallpox or severe vaccination reaction causes smallpox survival. Would the person dies from smallpox if having a brother instead of not having a brother?",no,"Let X = having a brother; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.
X->V3,X->V2,V2->Y,V3->Y
Y_{X=1} = 0 | 
Solve for Y, given the evidence and the action
V2 = X
V3 = not V2
Y = V2 or V3
Y = [1] = 1 or 0
0",3,det-counterfactual,diamond,vaccine_kills,anticommonsense,Y_{X=1} = 0 | ,main,formal,main
28840,qwen3_4b,Qwen3-4B,0,False,no,1,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Pexu has a direct effect on hwax and rukz. Hwax has a direct effect on rukz. For those who are not pexu, the probability of rukz is 54%. For those who are pexu, the probability of rukz is 84%. For those who are pexu, would it be less likely to see rukz if the individual was not pexu?",yes,"Let X = pexu; V2 = hwax; Y = rukz.
X->V2,X->Y,V2->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.54
P(Y=1 | X=1) = 0.84
0.84 - 0.54 = 0.30
0.30 > 0",3,ett,mediation,nonsense8,nonsense,E[Y_{X = 1} - Y_{X = 0} | X = 1],main,formal,main
12104,qwen3_4b,Qwen3-4B,0,False,no,1,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Education level has a direct effect on skill. Skill has a direct effect on black hair. The overall probability of college degree or higher is 13%. For people without a college degree, the probability of black hair is 37%. For people with a college degree or higher, the probability of black hair is 45%. Is black hair less likely than blond hair overall?",yes,"Let X = education level; V2 = skill; Y = black hair.
X->V2,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.13
P(Y=1 | X=0) = 0.37
P(Y=1 | X=1) = 0.45
0.13*0.45 - 0.87*0.37 = 0.38
0.38 > 0",1,marginal,chain,college_salary,anticommonsense,P(Y),main,formal,main
17041,qwen3_4b,Qwen3-4B,0,False,no,1,False,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on education level and foot size. Proximity to a college has a direct effect on education level. Education level has a direct effect on foot size. Unobserved confounders is unobserved. The overall probability of college degree or higher is 81%. For people without a college degree, the probability of large feet is 75%. For people with a college degree or higher, the probability of large feet is 40%. Is large feet less likely than small feet overall?",yes,"Let V2 = proximity to a college; V1 = unobserved confounders; X = education level; Y = foot size.
V1->X,V2->X,V1->Y,X->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.81
P(Y=1 | X=0) = 0.75
P(Y=1 | X=1) = 0.40
0.81*0.40 - 0.19*0.75 = 0.46
0.46 > 0",1,marginal,IV,college_wage,anticommonsense,P(Y),main,formal,main
