id,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form,subset
133,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm, the probability of ringing alarm is 36%. For husbands that set the alarm, the probability of ringing alarm is 55%. Will alarm set by husband decrease the chance of ringing alarm?",no,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.36
P(Y=1 | X=1) = 0.55
0.55 - 0.36 = 0.18
0.18 > 0",2,ate,mediation,alarm,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],formal
15321,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a brother has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For people who do not have a brother, the probability of ringing alarm is 77%. For people who have a brother, the probability of ringing alarm is 25%. Will having a brother increase the chance of ringing alarm?",no,"Let X = having a brother; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.77
P(Y=1 | X=1) = 0.25
0.25 - 0.77 = -0.52
-0.52 < 0",2,ate,mediation,alarm,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],formal
6175,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Medication has a direct effect on blood pressure and heart condition. Blood pressure has a direct effect on heart condition. For people not taking any medication, the probability of healthy heart is 37%. For people taking medication, the probability of healthy heart is 37%. Will taking medication decrease the chance of healthy heart?",no,"Let X = medication; V2 = blood pressure; Y = heart condition.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.37
P(Y=1 | X=1) = 0.37
0.37 - 0.37 = -0.00
0.00 = 0",2,ate,mediation,blood_pressure,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],formal
166,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. For people not blowing out candles, the probability of dark room is 44%. For people who blow out candles, the probability of dark room is 75%. Will blowing out the candle decrease the chance of dark room?",no,"Let V2 = the candle; X = the man in the room; Y = room.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.44
P(Y=1 | X=1) = 0.75
0.75 - 0.44 = 0.31
0.31 > 0",2,ate,fork,candle,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],formal
12451,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Ability to swim has a direct effect on studying habit and exam score. Studying habit has a direct effect on exam score. For students who cannot swim, the probability of high exam score is 31%. For students who can swim, the probability of high exam score is 69%. Will being able to swim decrease the chance of high exam score?",no,"Let X = ability to swim; V2 = studying habit; Y = exam score.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.31
P(Y=1 | X=1) = 0.69
0.69 - 0.31 = 0.38
0.38 > 0",2,ate,mediation,encouagement_program,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],formal
5133,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 73%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 31%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 90%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 47%. The overall probability of CEO's decision to fire the employee is 91%. Will manager signing the termination letter increase the chance of employee being fired?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.73
P(Y=1 | V1=0, X=1) = 0.31
P(Y=1 | V1=1, X=0) = 0.90
P(Y=1 | V1=1, X=1) = 0.47
P(V1=1) = 0.91
0.09 * (0.31 - 0.73) 0.91 * (0.47 - 0.90) = -0.43
-0.43 < 0",2,ate,diamondcut,firing_employee,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],formal
15502,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on foot size. Director has a direct effect on foot size. For CEOs who fire employees and managers who don't sign termination letters, the probability of large feet is 54%. For CEOs who fire employees and managers who sign termination letters, the probability of large feet is 14%. For CEOs who fire employees and managers who don't sign termination letters, the probability of large feet is 70%. For CEOs who fire employees and managers who sign termination letters, the probability of large feet is 27%. The overall probability of CEO's decision to fire the employee is 87%. Will manager signing the termination letter increase the chance of large feet?",no,"Let V1 = CEO; V3 = director; X = manager; Y = foot size.
V1->V3,V1->X,X->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]
P(Y=1 | V1=0, X=0) = 0.54
P(Y=1 | V1=0, X=1) = 0.14
P(Y=1 | V1=1, X=0) = 0.70
P(Y=1 | V1=1, X=1) = 0.27
P(V1=1) = 0.87
0.13 * (0.14 - 0.54) 0.87 * (0.27 - 0.70) = -0.43
-0.43 < 0",2,ate,diamondcut,firing_employee,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],formal
10979,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Full moon has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. For situations where there is no full moon, the probability of wet ground is 55%. For situations where there is a full moon, the probability of wet ground is 62%. Will full moon decrease the chance of wet ground?",no,"Let X = full moon; V3 = sprinkler; V2 = weather; Y = ground.
X->V3,X->V2,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.55
P(Y=1 | X=1) = 0.62
0.62 - 0.55 = 0.07
0.07 > 0",2,ate,diamond,floor_wet,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],formal
17461,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on department competitiveness and lactose intolerance. Department competitiveness has a direct effect on lactose intolerance. For individuals who are not male, the probability of being lactose intolerant is 74%. For individuals who are male, the probability of being lactose intolerant is 21%. Will male gender increase the chance of being lactose intolerant?",no,"Let X = gender; V2 = department competitiveness; Y = lactose intolerance.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.74
P(Y=1 | X=1) = 0.21
0.21 - 0.74 = -0.53
-0.53 < 0",2,ate,mediation,gender_admission,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],formal
7175,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on department competitiveness and admission status. Residency status has a direct effect on department competitiveness and admission status. Department competitiveness has a direct effect on admission status. Residency status is unobserved. For individuals who are not male, the probability of admission acceptance is 26%. For individuals who are male, the probability of admission acceptance is 64%. Will male gender decrease the chance of admission acceptance?",no,"Let V2 = residency status; X = gender; V3 = department competitiveness; Y = admission status.
X->V3,V2->V3,X->Y,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.26
P(Y=1 | X=1) = 0.64
0.64 - 0.26 = 0.37
0.37 > 0",2,ate,arrowhead,gender_admission_state,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],formal
