run_id,model,model_display_name,sample_id,donor_sample_id,story_id,graph_id,rung,query_type,question_property,formal_form,gold_label,prompt_mode,prompt_condition,dataset_variant,diagnostic_source,subset,trace_source,raw_output,input_tokens,output_tokens,parsed_label,yes_logprob,no_logprob,yes_no_margin,latency_sec,is_invalid,is_correct
final_20260513_090357,qwen3_8b,Qwen3-8B,7,,alarm,mediation,2,ate,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],no,nl_binary_score,NL Binary Score,symbolic_control,symbolic_control,symbolic_control_2048,natural_language,,,1,no,-11.5,-1.0132789611816406e-05,-11.499989867210388,0.09076258825371042,False,1
final_20260513_090357,qwen3_8b,Qwen3-8B,133,,alarm,mediation,2,ate,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],no,nl_binary_score,NL Binary Score,symbolic_control,symbolic_control,symbolic_control_2048,natural_language,,,1,no,-10.75,-2.1457672119140625e-05,-10.74997854232788,0.09076258825371042,False,1
final_20260513_090357,qwen3_8b,Qwen3-8B,4910,,alarm,mediation,2,ate,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],no,nl_binary_score,NL Binary Score,symbolic_control,symbolic_control,symbolic_control_2048,natural_language,,,1,yes,-0.00408935546875,-5.5,5.49591064453125,0.09076258825371042,False,0
final_20260513_090357,qwen3_8b,Qwen3-8B,10399,,alarm,mediation,2,ate,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],no,nl_binary_score,NL Binary Score,symbolic_control,symbolic_control,symbolic_control_2048,natural_language,,,1,no,-26.0,0.0,-26.0,0.09076258825371042,False,1
final_20260513_090357,qwen3_8b,Qwen3-8B,15335,,alarm,mediation,2,ate,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],no,nl_binary_score,NL Binary Score,symbolic_control,symbolic_control,symbolic_control_2048,natural_language,,,1,yes,-0.000431060791015625,-7.75,7.749568939208984,0.014771701768040657,False,0
final_20260513_090357,qwen3_8b,Qwen3-8B,11781,,blood_pressure,mediation,2,ate,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],no,nl_binary_score,NL Binary Score,symbolic_control,symbolic_control,symbolic_control_2048,natural_language,,,1,no,-25.5,0.0,-25.5,0.014771701768040657,False,1
final_20260513_090357,qwen3_8b,Qwen3-8B,180,,candle,fork,2,ate,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],no,nl_binary_score,NL Binary Score,symbolic_control,symbolic_control,symbolic_control_2048,natural_language,,,1,no,-9.75,-5.817413330078125e-05,-9.7499418258667,0.014771701768040657,False,1
final_20260513_090357,qwen3_8b,Qwen3-8B,216,,candle,fork,2,ate,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],no,nl_binary_score,NL Binary Score,symbolic_control,symbolic_control,symbolic_control_2048,natural_language,,,1,no,-1.3125,-0.3125,-1.0,0.014771701768040657,False,1
final_20260513_090357,qwen3_8b,Qwen3-8B,4985,,candle,fork,2,ate,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],no,nl_binary_score,NL Binary Score,symbolic_control,symbolic_control,symbolic_control_2048,natural_language,,,1,yes,-9.584426879882812e-05,-9.25,9.249904155731201,0.019395480980165303,False,0
final_20260513_090357,qwen3_8b,Qwen3-8B,5024,,candle,fork,2,ate,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],no,nl_binary_score,NL Binary Score,symbolic_control,symbolic_control,symbolic_control_2048,natural_language,,,1,yes,-5.817413330078125e-05,-9.75,9.7499418258667,0.019395480980165303,False,0
