model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,story_id,query_type,formal_form,left_sample_id,right_sample_id,has_invalid,strict_contrast_consistent,correct_flip,wrong_flip,invariant_yes,invariant_no,left_gold_label,right_gold_label,left_parsed_label,right_parsed_label
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,alarm,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],7,10423,False,0,0,0,0,1,no,yes,no,no
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,alarm,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],7,15339,False,1,1,0,0,0,no,yes,no,yes
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,alarm,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],133,10423,False,0,0,0,0,1,no,yes,no,no
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,alarm,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],133,15339,False,1,1,0,0,0,no,yes,no,yes
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,alarm,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],4910,10423,False,0,0,0,0,1,no,yes,no,no
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,alarm,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],4910,15339,False,1,1,0,0,0,no,yes,no,yes
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,alarm,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],10399,10423,False,0,0,0,0,1,no,yes,no,no
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,alarm,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],10399,15339,False,1,1,0,0,0,no,yes,no,yes
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,alarm,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],15335,10423,False,1,0,1,0,0,no,yes,yes,no
qwen3_4b,Qwen3-4B,symbolic_control,symbolic_control,nl_binary_score,alarm,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],15335,15339,False,0,0,0,1,0,no,yes,yes,yes
