id,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form,dataset_variant,subset,diagnostic_source
7,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm, the probability of ringing alarm is 26%. For husbands that set the alarm, the probability of ringing alarm is 76%. Will alarm set by husband decrease the chance of ringing alarm?",no,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.26
P(Y=1 | X=1) = 0.76
0.76 - 0.26 = 0.50
0.50 > 0",2,ate,mediation,alarm,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],symbolic_control,symbolic_control_2048,symbolic_control
133,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm, the probability of ringing alarm is 36%. For husbands that set the alarm, the probability of ringing alarm is 55%. Will alarm set by husband decrease the chance of ringing alarm?",no,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.36
P(Y=1 | X=1) = 0.55
0.55 - 0.36 = 0.18
0.18 > 0",2,ate,mediation,alarm,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],symbolic_control,symbolic_control_2048,symbolic_control
4910,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm, the probability of ringing alarm is 79%. For husbands that set the alarm, the probability of ringing alarm is 31%. Will alarm set by husband increase the chance of ringing alarm?",no,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.79
P(Y=1 | X=1) = 0.31
0.31 - 0.79 = -0.48
-0.48 < 0",2,ate,mediation,alarm,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],symbolic_control,symbolic_control_2048,symbolic_control
10399,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Drinking coffee has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For people who do not drink coffee, the probability of ringing alarm is 26%. For people who drink coffee, the probability of ringing alarm is 76%. Will drinking coffee decrease the chance of ringing alarm?",no,"Let X = drinking coffee; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.26
P(Y=1 | X=1) = 0.76
0.76 - 0.26 = 0.50
0.50 > 0",2,ate,mediation,alarm,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],symbolic_control,symbolic_control_2048,symbolic_control
15335,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a brother has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For people who do not have a brother, the probability of ringing alarm is 75%. For people who have a brother, the probability of ringing alarm is 16%. Will having a brother increase the chance of ringing alarm?",no,"Let X = having a brother; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.75
P(Y=1 | X=1) = 0.16
0.16 - 0.75 = -0.59
-0.59 < 0",2,ate,mediation,alarm,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],symbolic_control,symbolic_control_2048,symbolic_control
11781,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a sister has a direct effect on blood pressure and heart condition. Blood pressure has a direct effect on heart condition. For people who do not have a sister, the probability of healthy heart is 42%. For people who have a sister, the probability of healthy heart is 60%. Will having a sister decrease the chance of healthy heart?",no,"Let X = having a sister; V2 = blood pressure; Y = heart condition.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.42
P(Y=1 | X=1) = 0.60
0.60 - 0.42 = 0.18
0.18 > 0",2,ate,mediation,blood_pressure,anticommonsense,E[Y | do(X = 1)] - E[Y | do(X = 0)],symbolic_control,symbolic_control_2048,symbolic_control
180,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. For people not blowing out candles, the probability of dark room is 31%. For people who blow out candles, the probability of dark room is 66%. Will blowing out the candle decrease the chance of dark room?",no,"Let V2 = the candle; X = the man in the room; Y = room.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.31
P(Y=1 | X=1) = 0.66
0.66 - 0.31 = 0.34
0.34 > 0",2,ate,fork,candle,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],symbolic_control,symbolic_control_2048,symbolic_control
216,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. For people not blowing out candles, the probability of dark room is 30%. For people who blow out candles, the probability of dark room is 63%. Will blowing out the candle decrease the chance of dark room?",no,"Let V2 = the candle; X = the man in the room; Y = room.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.30
P(Y=1 | X=1) = 0.63
0.63 - 0.30 = 0.33
0.33 > 0",2,ate,fork,candle,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],symbolic_control,symbolic_control_2048,symbolic_control
4985,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. For people not blowing out candles, the probability of dark room is 89%. For people who blow out candles, the probability of dark room is 58%. Will blowing out the candle increase the chance of dark room?",no,"Let V2 = the candle; X = the man in the room; Y = room.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.89
P(Y=1 | X=1) = 0.58
0.58 - 0.89 = -0.30
-0.30 < 0",2,ate,fork,candle,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],symbolic_control,symbolic_control_2048,symbolic_control
5024,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. For people not blowing out candles, the probability of dark room is 86%. For people who blow out candles, the probability of dark room is 56%. Will blowing out the candle increase the chance of dark room?",no,"Let V2 = the candle; X = the man in the room; Y = room.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.86
P(Y=1 | X=1) = 0.56
0.56 - 0.86 = -0.31
-0.31 < 0",2,ate,fork,candle,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],symbolic_control,symbolic_control_2048,symbolic_control
