id,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form,subset,source_id,scenario_style
295,"In a causal study of organizational decision-making, the CEO influences both the director and manager. Both the director and manager have direct effects on the employee's firing outcome. The probability that the manager signs a termination letter is 30%. The probability that the manager does not sign the termination letter and the employee is fired is 13%. The probability that the manager signs the termination letter and the employee is fired is 17%. Based on these observational data, is the probability of the employee being fired lower given that the manager signs the termination letter?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.30
P(Y=1, X=0=1) = 0.13
P(Y=1, X=1=1) = 0.17
0.17/0.30 - 0.13/0.70 = 0.39
0.39 > 0",1,correlation,diamondcut,firing_employee,easy,P(Y | X),scenario_rewrite,295,scientific_claims
295,"You are explaining health risks to the public. In a simplified model, a virus (V) directly affects both symptom A and symptom B. Symptom A directly affects symptom C, and symptom B directly affects symptom C. The overall probability of having symptom A is 30%. The probability of not having symptom A and having symptom C is 13%. The probability of having symptom A and having symptom C is 17%. Is the chance of having symptom C lower when observing that someone has symptom A?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.30
P(Y=1, X=0=1) = 0.13
P(Y=1, X=1=1) = 0.17
0.17/0.30 - 0.13/0.70 = 0.39
0.39 > 0",1,correlation,diamondcut,firing_employee,easy,P(Y | X),scenario_rewrite,295,public_health
295,"In a recent news report, a company's CEO influences both the director and the manager. The manager and director each directly affect whether an employee gets fired. Overall, there is a 30% probability that the manager signs the termination letter. When the manager does not sign the termination letter, the probability of the employee being fired is 13%. When the manager signs the termination letter, the probability of the employee being fired is 17%. Based on this data, is the likelihood of the employee being fired lower when the manager is observed signing the termination letter?",no,"Let V1 = CEO; V3 = director; X = manager; Y = employee.
V1->V3,V1->X,X->Y,V3->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.30
P(Y=1, X=0=1) = 0.13
P(Y=1, X=1=1) = 0.17
0.17/0.30 - 0.13/0.70 = 0.39
0.39 > 0",1,correlation,diamondcut,firing_employee,easy,P(Y | X),scenario_rewrite,295,event_explanation
813,"In a study examining factors influencing school arrival, researchers consider two direct causes: waking time and traffic. The overall probability of waking up late is 42%. When waking up on time, the probability of arriving on time is 62%, and when waking up late, the probability of arriving on time is 31%. Based solely on these conditions, without considering other factors, is the overall likelihood of arriving to school on time greater than that of arriving late?",no,"Let V2 = traffic; X = Alice waking up; Y = Alice arriving to school.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.42
P(Y=1 | X=0) = 0.62
P(Y=1 | X=1) = 0.31
0.42*0.31 - 0.58*0.62 = 0.49
0.49 > 0",1,marginal,fork,getting_late,easy,P(Y),scenario_rewrite,813,scientific_claims
813,"Explain this risk scenario to the public: In a certain city, waking up late has a direct effect on arriving at work on time, and traffic has a direct effect on arriving at work on time. The overall probability of waking up late is 42%. On days when someone wakes up on time, the probability of arriving at work on time is 62%. On days when someone wakes up late, the probability of arriving at work on time is 31%. Is arriving at work on time more likely than arriving late overall?",no,"Let V2 = traffic; X = Alice waking up; Y = Alice arriving to school.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.42
P(Y=1 | X=0) = 0.62
P(Y=1 | X=1) = 0.31
0.42*0.31 - 0.58*0.62 = 0.49
0.49 > 0",1,marginal,fork,getting_late,easy,P(Y),scenario_rewrite,813,public_health
813,"Explain the following event/news scenario: Alice's arrival at school is influenced by whether she wakes up late and by traffic. The chance of waking up late is 42%. When she wakes up on time, she arrives on time with a 62% probability; when she wakes up late, she arrives on time with a 31% probability. Is the overall likelihood of arriving on time greater than that of arriving late?",no,"Let V2 = traffic; X = Alice waking up; Y = Alice arriving to school.
X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.42
P(Y=1 | X=0) = 0.62
P(Y=1 | X=1) = 0.31
0.42*0.31 - 0.58*0.62 = 0.49
0.49 > 0",1,marginal,fork,getting_late,easy,P(Y),scenario_rewrite,813,event_explanation
14162,"In a study investigating the relationship between kidney stone treatment and lip thickness, researchers hypothesized that treatment may influence lip thickness. Among the study population, the overall treatment rate was 57%. It was observed that 25% of participants had thick lips and did not receive treatment, while 21% had thick lips and received treatment. Based on these data, is the probability of having thick lips lower among those who received treatment compared to the overall population?",yes,"Let V1 = kidney stone size; X = treatment; Y = lip thickness.
V1->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.57
P(Y=1, X=0=1) = 0.25
P(Y=1, X=1=1) = 0.21
0.21/0.57 - 0.25/0.43 = -0.20
-0.20 < 0",1,correlation,confounding,simpson_kidneystone,anticommonsense,P(Y | X),scenario_rewrite,14162,scientific_claims
14162,"Explain to a general audience: In a simplified public health scenario, kidney stone size directly influences both treatment decisions and lip thickness, and treatment itself also directly affects lip thickness. The overall chance of receiving treatment is 57%. Among those who do not receive treatment, 25% have thick lips. Among those who receive treatment, 21% have thick lips. When we observe that a person receives treatment, is the risk of having thick lips lower?",yes,"Let V1 = kidney stone size; X = treatment; Y = lip thickness.
V1->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.57
P(Y=1, X=0=1) = 0.25
P(Y=1, X=1=1) = 0.21
0.21/0.57 - 0.25/0.43 = -0.20
-0.20 < 0",1,correlation,confounding,simpson_kidneystone,anticommonsense,P(Y | X),scenario_rewrite,14162,public_health
14162,"In a recent medical study, researchers investigated the relationship between kidney stone treatment and the occurrence of thick lips. They found that the overall probability of receiving treatment is 57%. Among those who received no treatment, 25% had thick lips, while among those who received treatment, 21% had thick lips. Based on these findings, is the chance of thick lips lower when a patient receives treatment?",yes,"Let V1 = kidney stone size; X = treatment; Y = lip thickness.
V1->X,V1->Y,X->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.57
P(Y=1, X=0=1) = 0.25
P(Y=1, X=1=1) = 0.21
0.21/0.57 - 0.25/0.43 = -0.20
-0.20 < 0",1,correlation,confounding,simpson_kidneystone,anticommonsense,P(Y | X),scenario_rewrite,14162,event_explanation
14234,"In a study on kidney stone patients, researchers investigated the causal relationships among stone size, treatment, and lip thickness. Stone size directly influences both treatment assignment and lip thickness. Treatment itself also has a direct effect on lip thickness. The overall probability of receiving treatment is 64%. Among patients who did not receive treatment, the probability of having thick lips is 80%, while among those who received treatment, the probability is 51%. Based on these data, is the overall probability of thick lips greater than that of thin lips?",yes,"Let V1 = kidney stone size; X = treatment; Y = lip thickness.
V1->X,V1->Y,X->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.64
P(Y=1 | X=0) = 0.80
P(Y=1 | X=1) = 0.51
0.64*0.51 - 0.36*0.80 = 0.61
0.61 > 0",1,marginal,confounding,simpson_kidneystone,anticommonsense,P(Y),scenario_rewrite,14234,scientific_claims
