id,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form,subset
133,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm, the probability of ringing alarm is 36%. For husbands that set the alarm, the probability of ringing alarm is 55%. Will alarm set by husband decrease the chance of ringing alarm?",no,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.36
P(Y=1 | X=1) = 0.55
0.55 - 0.36 = 0.18
0.18 > 0",2,ate,mediation,alarm,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],main
1179,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vaccination status has a direct effect on vaccination reaction and getting smallpox. Getting smallpox has a direct effect on smallpox survival. Vaccination reaction has a direct effect on smallpox survival. For unvaccinated individuals, the probability of smallpox survival is 42%. For vaccinated individuals, the probability of smallpox survival is 54%. Will vaccination decrease the chance of smallpox survival?",no,"Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.
X->V3,X->V2,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.42
P(Y=1 | X=1) = 0.54
0.54 - 0.42 = 0.11
0.11 > 0",2,ate,diamond,vaccine_kills,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],main
2621,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on occupation and salary. Skill has a direct effect on occupation and salary. Occupation has a direct effect on salary. Skill is unobserved. For individuals who are not male, the probability of high salary is 31%. For individuals who are male, the probability of high salary is 65%. Will male gender decrease the chance of high salary?",no,"Let V2 = skill; X = gender; V3 = occupation; Y = salary.
X->V3,V2->V3,X->Y,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.31
P(Y=1 | X=1) = 0.65
0.65 - 0.31 = 0.34
0.34 > 0",2,ate,arrowhead,gender_pay,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],main
2828,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Parents' intelligence has a direct effect on parents' social status and child's intelligence. Other unobserved factors has a direct effect on parents' social status and child's intelligence. Parents' social status has a direct effect on child's intelligence. Other unobserved factors is unobserved. For children with unintelligent parents, the probability of intelligent child is 42%. For children with intelligent parents, the probability of intelligent child is 56%. Will intelligent parents decrease the chance of intelligent child?",no,"Let V2 = other unobserved factors; X = parents' intelligence; V3 = parents' social status; Y = child's intelligence.
X->V3,V2->V3,X->Y,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.42
P(Y=1 | X=1) = 0.56
0.56 - 0.42 = 0.14
0.14 > 0",2,ate,arrowhead,nature_vs_nurture,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],main
4407,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gene has a direct effect on smoking and lung cancer. Pollution has a direct effect on smoking and lung cancer. Smoking has a direct effect on lung cancer. Pollution is unobserved. For people with nonsmoking genes, the probability of lung cancer is 37%. For people with smoking genes, the probability of lung cancer is 50%. Will smoking gene decrease the chance of lung cancer?",no,"Let V2 = pollution; X = gene; V3 = smoking; Y = lung cancer.
X->V3,V2->V3,X->Y,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.37
P(Y=1 | X=1) = 0.50
0.50 - 0.37 = 0.13
0.13 > 0",2,ate,arrowhead,smoking_gene_cancer,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)],main
5810,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on skin. Going to the beach has a direct effect on skin. For people not using tanning salon treatments, the probability of tanned skin is 72%. For people who went to tanning salons, the probability of tanned skin is 33%. Will tanning salon treatment increase the chance of tanned skin?",no,"Let V2 = going to the beach; X = tanning salon treatment; Y = skin.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.72
P(Y=1 | X=1) = 0.33
0.33 - 0.72 = -0.38
-0.38 < 0",2,ate,fork,getting_tanned,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],main
6175,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Medication has a direct effect on blood pressure and heart condition. Blood pressure has a direct effect on heart condition. For people not taking any medication, the probability of healthy heart is 37%. For people taking medication, the probability of healthy heart is 37%. Will taking medication decrease the chance of healthy heart?",no,"Let X = medication; V2 = blood pressure; Y = heart condition.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.37
P(Y=1 | X=1) = 0.37
0.37 - 0.37 = -0.00
0.00 = 0",2,ate,mediation,blood_pressure,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],main
7175,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on department competitiveness and admission status. Residency status has a direct effect on department competitiveness and admission status. Department competitiveness has a direct effect on admission status. Residency status is unobserved. For individuals who are not male, the probability of admission acceptance is 26%. For individuals who are male, the probability of admission acceptance is 64%. Will male gender decrease the chance of admission acceptance?",no,"Let V2 = residency status; X = gender; V3 = department competitiveness; Y = admission status.
X->V3,V2->V3,X->Y,V2->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.26
P(Y=1 | X=1) = 0.64
0.64 - 0.26 = 0.37
0.37 > 0",2,ate,arrowhead,gender_admission_state,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],main
8161,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Eating citrus has a direct effect on vitmain C. Vitmain C has a direct effect on scurvy. For patients not consuming citrus, the probability of scurvy is 75%. For patients consuming citrus, the probability of scurvy is 42%. Will citrus intake increase the chance of scurvy?",no,"Let X = eating citrus; V2 = vitmain C; Y = scurvy.
X->V2,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.75
P(Y=1 | X=1) = 0.42
0.42 - 0.75 = -0.32
-0.32 < 0",2,ate,chain,orange_scurvy,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],main
8923,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and lung cancer. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. Gender is unobserved. For nonsmokers, the probability of high tar deposit is 66%. For smokers, the probability of high tar deposit is 1%. For nonsmokers and with no tar deposit, the probability of lung cancer is 65%. For nonsmokers and with high tar deposit, the probability of lung cancer is 34%. For smokers and with no tar deposit, the probability of lung cancer is 65%. For smokers and with high tar deposit, the probability of lung cancer is 34%. The overall probability of smoking is 95%. Will smoking decrease the chance of lung cancer?",no,"Let V1 = gender; X = smoking; V3 = tar deposit; Y = lung cancer.
V1->X,X->V3,V1->Y,V3->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
\sum_{V3 = v} [P(V3 = v|X = 1) - P(V3 = v|X = 0)] * [\sum_{X = h} P(Y = 1|X = h,V3 = v)*P(X = h)]
P(V3=1 | X=0) = 0.66
P(V3=1 | X=1) = 0.01
P(Y=1 | X=0, V3=0) = 0.65
P(Y=1 | X=0, V3=1) = 0.34
P(Y=1 | X=1, V3=0) = 0.65
P(Y=1 | X=1, V3=1) = 0.34
P(X=1) = 0.95
(0.01 - 0.66)* (0.34 * 0.95) + (0.99 - 0.34) * (0.34 * 0.05) = 0.20
0.20 > 0",2,ate,frontdoor,smoking_frontdoor,hard,E[Y | do(X = 1)] - E[Y | do(X = 0)],main
