story_id,query_type,formal_form,rung,token_len,yes_id,yes_prompt,no_id,no_prompt
alarm,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",3,235,88,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm and wives that don't set the alarm, the probability of ringing alarm is 6%. For husbands that don't set the alarm and wives that set the alarm, the probability of ringing alarm is 49%. For husbands that set the alarm and wives that don't set the alarm, the probability of ringing alarm is 54%. For husbands that set the alarm and wives that set the alarm, the probability of ringing alarm is 99%. For husbands that don't set the alarm, the probability of alarm set by wife is 94%. For husbands that set the alarm, the probability of alarm set by wife is 50%. If we disregard the mediation effect through wife, would husband positively affect alarm clock?",119,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm and wives that don't set the alarm, the probability of ringing alarm is 1%. For husbands that don't set the alarm and wives that set the alarm, the probability of ringing alarm is 43%. For husbands that set the alarm and wives that don't set the alarm, the probability of ringing alarm is 47%. For husbands that set the alarm and wives that set the alarm, the probability of ringing alarm is 92%. For husbands that don't set the alarm, the probability of alarm set by wife is 50%. For husbands that set the alarm, the probability of alarm set by wife is 74%. If we disregard the mediation effect through wife, would husband negatively affect alarm clock?"
candle,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,127,4986,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. For people not blowing out candles, the probability of dark room is 89%. For people who blow out candles, the probability of dark room is 58%. Will blowing out the candle decrease the chance of dark room?",166,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. For people not blowing out candles, the probability of dark room is 44%. For people who blow out candles, the probability of dark room is 75%. Will blowing out the candle decrease the chance of dark room?"
firing_employee,ate,E[Y | do(X = 1)] - E[Y | do(X = 0)],2,212,5144,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 53%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 22%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 73%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 42%. The overall probability of CEO's decision to fire the employee is 81%. Will manager signing the termination letter decrease the chance of employee being fired?",5133,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 73%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 31%. For CEOs who fire employees and managers who don't sign termination letters, the probability of employee being fired is 90%. For CEOs who fire employees and managers who sign termination letters, the probability of employee being fired is 47%. The overall probability of CEO's decision to fire the employee is 91%. Will manager signing the termination letter increase the chance of employee being fired?"
firing_employee,ett,E[Y_{X = 1} - Y_{X = 0} | X = 1],3,258,346,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For managers who don't sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 13%. For managers who don't sign termination letters and directors who sign termination letters, the probability of employee being fired is 52%. For managers who sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 49%. For managers who sign termination letters and directors who sign termination letters, the probability of employee being fired is 88%. For managers who don't sign termination letters, the probability of director signing the termination letter is 50%. For managers who sign termination letters, the probability of director signing the termination letter is 56%. For managers who sign termination letters, would it be less likely to see employee being fired if the manager had signed the termination letter?",355,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For managers who don't sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 17%. For managers who don't sign termination letters and directors who sign termination letters, the probability of employee being fired is 48%. For managers who sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 47%. For managers who sign termination letters and directors who sign termination letters, the probability of employee being fired is 80%. For managers who don't sign termination letters, the probability of director signing the termination letter is 15%. For managers who sign termination letters, the probability of director signing the termination letter is 39%. For managers who sign termination letters, would it be more likely to see employee being fired if the manager had signed the termination letter?"
firing_employee,ett,E[Y_{X = 1} - Y_{X = 0} | X = 1],3,257,5138,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and manager. Manager has a direct effect on employee. Director has a direct effect on employee. For managers who don't sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 96%. For managers who don't sign termination letters and directors who sign termination letters, the probability of employee being fired is 59%. For managers who sign termination letters and directors who don't sign termination letters, the probability of employee being fired is 50%. For managers who sign termination letters and directors who sign termination letters, the probability of employee being fired is 13%. For managers who don't sign termination letters, the probability of director signing the termination letter is 8%. For managers who sign termination letters, the probability of director signing the termination letter is 19%. For managers who sign termination letters, would it be more likely to see employee being fired if the manager had signed the termination letter?",10752,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: CEO has a direct effect on director and having visited England. Having visited England has a direct effect on employee. Director has a direct effect on employee. For people who have not visited England and directors who don't sign termination letters, the probability of employee being fired is 3%. For people who have not visited England and directors who sign termination letters, the probability of employee being fired is 52%. For people who have visited England and directors who don't sign termination letters, the probability of employee being fired is 43%. For people who have visited England and directors who sign termination letters, the probability of employee being fired is 85%. For people who have not visited England, the probability of director signing the termination letter is 22%. For people who have visited England, the probability of director signing the termination letter is 78%. For people who have visited England, would it be more likely to see employee being fired if the person had not visited England?"
floor_wet,backadj,[backdoor adjustment set for Y given X],2,147,11026,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Full moon has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. Method 1: We look directly at how full moon correlates with ground in general. Method 2: We look at this correlation case by case according to sprinkler. To understand how full moon affects ground, is it more correct to use the Method 1 than Method 2?",590,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on ground. Sprinkler has a direct effect on ground. Method 1: We look at how season correlates with ground case by case according to sprinkler. Method 2: We look directly at how season correlates with ground in general. To understand how season affects ground, is it more correct to use the Method 1 than Method 2?"
floor_wet,nie,"E[Y_{X=0, V2=1, V3=1} - Y_{X=0, V2=0, V3=0}]",3,133,15817,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on rainfall. Sprinkler has a direct effect on rainfall. For people in the dry season, the probability of high rainfall is 66%. For in the rainy season, the probability of high rainfall is 62%. Does season negatively affect rainfall through weather and sprinkler?",15776,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Season has a direct effect on sprinkler and weather. Weather has a direct effect on rainfall. Sprinkler has a direct effect on rainfall. For people in the dry season, the probability of high rainfall is 54%. For in the rainy season, the probability of high rainfall is 43%. Does season positively affect rainfall through weather and sprinkler?"
gender_admission,nde,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]",3,234,12687,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on department competitiveness and peanut allergy. Department competitiveness has a direct effect on peanut allergy. For individuals who are not male and applicants to a non-competitive department, the probability of being allergic to peanuts is 75%. For individuals who are not male and applicants to a competitive department, the probability of being allergic to peanuts is 37%. For individuals who are male and applicants to a non-competitive department, the probability of being allergic to peanuts is 72%. For individuals who are male and applicants to a competitive department, the probability of being allergic to peanuts is 21%. For individuals who are not male, the probability of competitive department is 85%. For individuals who are male, the probability of competitive department is 49%. If we disregard the mediation effect through department competitiveness, would gender negatively affect peanut allergy?",12575,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on department competitiveness and peanut allergy. Department competitiveness has a direct effect on peanut allergy. For individuals who are not male and applicants to a non-competitive department, the probability of being allergic to peanuts is 92%. For individuals who are not male and applicants to a competitive department, the probability of being allergic to peanuts is 61%. For individuals who are male and applicants to a non-competitive department, the probability of being allergic to peanuts is 57%. For individuals who are male and applicants to a competitive department, the probability of being allergic to peanuts is 80%. For individuals who are not male, the probability of competitive department is 83%. For individuals who are male, the probability of competitive department is 18%. If we disregard the mediation effect through department competitiveness, would gender negatively affect peanut allergy?"
gender_pay,nde,"E[Y_{X=1, V3=0} - Y_{X=0, V3=0}]",3,293,7386,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on occupation and salary. Skill has a direct effect on occupation and salary. Occupation has a direct effect on salary. Skill is unobserved. For individuals who are not male and blue-collar workers, the probability of high salary is 37%. For individuals who are not male and white-collar workers, the probability of high salary is 17%. For individuals who are male and blue-collar workers, the probability of high salary is 62%. For individuals who are male and white-collar workers, the probability of high salary is 41%. For individuals who are not male and with low skill levels, the probability of white-collar job is 49%. For individuals who are not male and with high skill levels, the probability of white-collar job is 22%. For individuals who are male and with low skill levels, the probability of white-collar job is 77%. For individuals who are male and with high skill levels, the probability of white-collar job is 49%. The overall probability of high skill level is 92%. If we disregard the mediation effect through occupation, would gender positively affect salary?",2515,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on occupation and salary. Skill has a direct effect on occupation and salary. Occupation has a direct effect on salary. Skill is unobserved. For individuals who are not male and blue-collar workers, the probability of high salary is 44%. For individuals who are not male and white-collar workers, the probability of high salary is 94%. For individuals who are male and blue-collar workers, the probability of high salary is 29%. For individuals who are male and white-collar workers, the probability of high salary is 74%. For individuals who are not male and with low skill levels, the probability of white-collar job is 39%. For individuals who are not male and with high skill levels, the probability of white-collar job is 29%. For individuals who are male and with low skill levels, the probability of white-collar job is 83%. For individuals who are male and with high skill levels, the probability of white-collar job is 75%. The overall probability of high skill level is 14%. If we disregard the mediation effect through occupation, would gender positively affect salary?"
nature_vs_nurture,nde,"E[Y_{X=1, V3=0} - Y_{X=0, V3=0}]",3,333,7610,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Parents' intelligence has a direct effect on parents' social status and child's intelligence. Other unobserved factors has a direct effect on parents' social status and child's intelligence. Parents' social status has a direct effect on child's intelligence. Other unobserved factors is unobserved. For children with unintelligent parents and with low parental social status, the probability of intelligent child is 83%. For children with unintelligent parents and with high parental social status, the probability of intelligent child is 55%. For children with intelligent parents and with low parental social status, the probability of intelligent child is 52%. For children with intelligent parents and with high parental social status, the probability of intelligent child is 24%. For children with unintelligent parents and confounder inactive, the probability of high parental social status is 71%. For children with unintelligent parents and confounder active, the probability of high parental social status is 56%. For children with intelligent parents and confounder inactive, the probability of high parental social status is 29%. For children with intelligent parents and confounder active, the probability of high parental social status is 47%. The overall probability of confounder active is 42%. If we disregard the mediation effect through parents' social status, would parents' intelligence negatively affect child's intelligence?",2934,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Parents' intelligence has a direct effect on parents' social status and child's intelligence. Other unobserved factors has a direct effect on parents' social status and child's intelligence. Parents' social status has a direct effect on child's intelligence. Other unobserved factors is unobserved. For children with unintelligent parents and with low parental social status, the probability of intelligent child is 23%. For children with unintelligent parents and with high parental social status, the probability of intelligent child is 28%. For children with intelligent parents and with low parental social status, the probability of intelligent child is 51%. For children with intelligent parents and with high parental social status, the probability of intelligent child is 53%. For children with unintelligent parents and confounder inactive, the probability of high parental social status is 42%. For children with unintelligent parents and confounder active, the probability of high parental social status is 25%. For children with intelligent parents and confounder inactive, the probability of high parental social status is 93%. For children with intelligent parents and confounder active, the probability of high parental social status is 74%. The overall probability of confounder active is 44%. If we disregard the mediation effect through parents' social status, would parents' intelligence negatively affect child's intelligence?"
